,year,day,time,play,park
0,2018,06.01(금),18:30,한화13vs6롯데,사직
1,2018,06.02(토),17:00,한화3vs2롯데,사직
2,2018,06.03(일),17:00,한화0vs6롯데,사직
3,2018,06.05(화),18:30,한화3vs7LG,잠실
4,2018,06.06(수),14:00,한화5vs1LG,잠실
5,2018,06.07(목),18:30,한화5vs6LG,잠실
6,2018,06.08(금),18:30,SK5vs7한화,대전
7,2018,06.09(토),17:00,SK4vs2한화,대전
8,2018,06.10(일),17:00,SK3vs4한화,대전
9,2018,06.12(화),18:30,한화6vs2넥센,고척
10,2018,06.13(수),18:30,한화2vs4넥센,고척
11,2018,06.14(목),18:30,한화9vs8넥센,고척
12,2018,06.15(금),18:30,두산13vs4한화,대전
13,2018,06.16(토),17:00,두산8vs3한화,대전
14,2018,06.17(일),17:00,두산6vs11한화,대전
15,2018,06.19(화),18:30,LG4vs0한화,청주
16,2018,06.20(수),18:30,LG7vs11한화,청주
17,2018,06.21(목),18:30,LG6vs9한화,청주
18,2018,06.22(금),18:30,한화5vs0NC,마산
19,2018,06.23(토),17:00,한화8vs1NC,마산
20,2018,06.24(일),17:00,한화5vs3NC,마산
21,2018,06.26(화),18:30,삼성13vs2한화,대전
22,2018,06.27(수),18:30,삼성0vs4한화,대전
23,2018,06.28(목),18:30,삼성3vs8한화,대전
24,2018,06.29(금),18:30,롯데2vs5한화,대전
25,2018,06.30(토),17:00,롯데5vs6한화,대전
26,2018,07.03(화),18:30,한화2vs9KIA,광주
27,2018,07.04(수),18:30,한화4vs6KIA,광주
28,2018,07.05(목),18:30,한화8vs2KIA,광주
29,2018,07.06(금),18:30,한화0vs6SK,문학
30,2018,07.07(토),18:00,한화4vs5SK,문학
31,2018,07.08(일),18:00,한화5vs2SK,문학
32,2018,07.10(화),18:30,넥센1vs4한화,대전
33,2018,07.11(수),18:30,넥센22vs8한화,대전
34,2018,07.12(목),18:30,넥센1vs4한화,대전
35,2018,07.17(화),18:30,한화8vs1KT,수원
36,2018,07.18(수),18:30,한화2vs4KT,수원
37,2018,07.19(목),18:30,한화7vs8KT,수원
38,2018,07.20(금),18:30,한화1vs0삼성,대구
39,2018,07.21(토),18:00,한화3vs4삼성,대구
40,2018,07.22(일),18:00,한화4vs5삼성,대구
41,2018,07.24(화),18:30,KIA0vs5한화,대전
42,2018,07.25(수),18:30,KIA11vs3한화,대전
43,2018,07.26(목),18:30,KIA3vs6한화,대전
44,2018,07.27(금),18:30,한화16vs7두산,잠실
45,2018,07.28(토),18:00,한화6vs13두산,잠실
46,2018,07.29(일),18:00,한화1vs3두산,잠실
47,2018,07.31(화),18:30,KT5vs4한화,대전
48,2018,08.01(수),18:30,KT3vs4한화,대전
49,2018,08.02(목),18:30,KT3vs5한화,대전
50,2018,08.04(토),18:00,NC7vs5한화,대전
51,2018,08.05(일),18:00,NC10vs8한화,대전
52,2018,08.07(화),18:30,한화4vs6두산,잠실
53,2018,08.08(수),18:30,한화8vs2두산,잠실
54,2018,08.09(목),18:30,넥센16vs5한화,청주
55,2018,08.10(금),18:30,넥센9vs4한화,청주
56,2018,08.11(토),18:00,KT3vs5한화,대전
57,2018,08.12(일),18:00,KT4vs5한화,대전
58,2018,08.14(화),18:30,한화4vs9롯데,사직
59,2018,08.16(목),18:30,한화2vs5삼성,대구
60,2018,09.04(화),18:30,롯데4vs6한화,대전
61,2018,09.05(수),18:30,롯데5vs11한화,대전
62,2018,09.06(목),18:30,한화9vs2KT,수원
63,2018,09.07(금),18:30,한화4vs12KT,수원
64,2018,09.08(토),17:00,한화1vs5LG,잠실
65,2018,09.09(일),14:00,한화5vs8LG,잠실
66,2018,09.11(화),18:30,한화8vs7삼성,대구
67,2018,09.12(수),18:30,한화7vs3삼성,대구
68,2018,09.13(목),18:30,SK2vs1한화,청주
69,2018,09.14(금),18:30,SK7vs5한화,청주
70,2018,09.15(토),17:00,LG12vs4한화,대전
71,2018,09.16(일),14:00,LG1vs5한화,대전
72,2018,09.18(화),18:30,한화3vs10NC,마산
73,2018,09.19(수),18:30,한화7vs4NC,마산
74,2018,09.20(목),18:30,한화8vs2SK,문학
75,2018,09.21(금),18:30,한화4vs5SK,문학
76,2018,09.22(토),17:00,KIA11vs5한화,대전
77,2018,09.23(일),14:00,KIA6vs8한화,대전
78,2018,09.25(화),14:00,삼성8vs1한화,대전
79,2018,09.26(수),14:00,삼성4vs8한화,대전
80,2018,09.27(목),18:30,두산6vs9한화,대전
81,2018,09.28(금),18:30,두산4vs5한화,대전
82,2018,09.29(토),17:00,한화3vs4KIA,광주
83,2018,09.30(일),14:00,한화4vs6KIA,광주
