,ground,place,date,startTime,12,15,18
0,사직,사직제2동,06.01(금),18,71,73,70
1,사직,사직제2동,06.02(토),17,76,75,73
2,사직,사직제2동,06.03(일),17,76,75,72
3,잠실,잠실2동,06.05(화),18,73,75,74
4,잠실,잠실2동,06.06(수),14,75,77,75
5,잠실,잠실2동,06.07(목),18,74,75,74
6,대전,부사동,06.08(금),18,74,76,76
7,대전,부사동,06.09(토),17,74,75,73
8,대전,부사동,06.10(일),17,72,72,70
9,고척,고척제1동,06.12(화),18,70,72,71
10,고척,고척제1동,06.13(수),18,73,74,73
11,고척,고척제1동,06.14(목),18,72,74,74
12,대전,부사동,06.15(금),18,73,73,71
13,대전,부사동,06.16(토),17,73,73,74
14,대전,부사동,06.17(일),17,74,74,74
15,청주,사직1동,06.19(화),18,72,75,73
16,청주,사직1동,06.20(수),18,73,75,73
17,청주,사직1동,06.21(목),18,73,73,71
18,마산,양덕2동,06.22(금),18,74,76,74
19,마산,양덕2동,06.23(토),17,72,74,74
20,마산,양덕2동,06.24(일),17,79,80,79
21,대전,부사동,06.26(화),18,75,77,77
22,대전,부사동,06.27(수),18,78,78,78
23,대전,부사동,06.28(목),18,79,76,77
24,대전,부사동,06.29(금),18,76,78,78
25,대전,부사동,06.30(토),17,77,74,75
26,광주,임동,07.03(화),18,80,80,80
27,광주,임동,07.04(수),18,80,81,79
28,광주,임동,07.05(목),18,78,79,79
29,문학,문학동,07.06(금),18,74,75,73
30,문학,문학동,07.07(토),18,72,76,74
31,문학,문학동,07.08(일),18,73,75,76
32,대전,부사동,07.10(화),18,79,81,81
33,대전,부사동,07.11(수),18,81,82,82
34,대전,부사동,07.12(목),18,80,81,82
35,수원,조원1동,07.17(화),18,80,80,78
36,수원,조원1동,07.18(수),18,80,80,79
37,수원,조원1동,07.19(목),18,79,80,79
38,대구,고산2동,07.20(금),18,81,84,83
39,대구,고산2동,07.21(토),18,81,85,83
40,대구,고산2동,07.22(일),18,82,84,82
41,대전,부사동,07.24(화),18,83,85,85
42,대전,부사동,07.25(수),18,83,83,83
43,대전,부사동,07.26(목),18,83,84,84
44,잠실,잠실2동,07.27(금),18,84,84,84
45,잠실,잠실2동,07.28(토),18,85,84,85
46,잠실,잠실2동,07.29(일),18,84,84,81
47,대전,부사동,07.31(화),18,84,84,84
48,대전,부사동,08.01(수),18,80,84,84
49,대전,부사동,08.02(목),18,83,84,85
50,대전,부사동,08.04(토),18,82,86,84
51,대전,부사동,08.05(일),18,83,84,83
52,잠실,잠실2동,08.07(화),18,82,84,83
53,잠실,잠실2동,08.08(수),18,83,82,83
54,청주,사직1동,08.09(목),18,83,84,81
55,청주,사직1동,08.10(금),18,81,83,81
56,대전,부사동,08.11(토),18,82,84,81
57,대전,부사동,08.12(일),18,81,84,82
58,사직,사직제2동,08.14(화),18,82,84,80
59,대구,고산2동,08.16(목),18,79,78,75
60,대전,부사동,09.04(화),18,76,76,74
61,대전,부사동,09.05(수),18,72,76,73
62,수원,조원1동,09.06(목),18,74,74,74
63,수원,조원1동,09.07(금),18,71,72,70
64,잠실,잠실2동,09.08(토),17,71,73,73
65,잠실,잠실2동,09.09(일),14,72,73,72
66,대구,고산2동,09.11(화),18,67,68,67
67,대구,고산2동,09.12(수),18,69,72,69
68,청주,사직1동,09.13(목),18,72,74,72
69,청주,사직1동,09.14(금),18,71,72,71
70,대전,부사동,09.15(토),17,77,76,76
71,대전,부사동,09.16(일),14,73,73,71
72,마산,양덕2동,09.18(화),18,75,77,73
73,마산,양덕2동,09.19(수),18,74,75,72
74,문학,0,09.20(목),18,70,70,70
75,문학,0,09.21(금),18,70,72,71
76,대전,부사동,09.22(토),17,70,71,69
77,대전,부사동,09.23(일),14,71,71,69
78,대전,부사동,09.25(화),14,66,68,67
79,대전,부사동,09.26(수),14,67,68,65
80,대전,부사동,09.27(목),18,67,68,67
81,대전,부사동,09.28(금),18,67,68,66
82,광주,임동,09.29(토),17,71,72,69
83,광주,임동,09.30(일),14,70,70,65
