,날짜,팀1,팀1 점수,팀2,팀2 점수,승패여부
0,06.01,한화,6,SK,0,1
1,06.02,한화,2,SK,5,0
2,06.04,한화,2,롯데,3,0
3,06.05,한화,6,롯데,3,1
4,06.06,한화,4,롯데,3,1
5,06.07,LG,2,한화,3,1
6,06.08,LG,3,한화,2,0
7,06.09,LG,3,한화,1,0
8,06.11,두산,1,한화,4,1
9,06.12,두산,9,한화,6,0
10,06.13,두산,7,한화,2,0
11,06.14,한화,7,키움,8,0
12,06.15,한화,3,키움,8,0
13,06.16,한화,6,키움,9,0
14,06.18,롯데,11,한화,3,0
15,06.19,롯데,7,한화,5,0
16,06.20,롯데,7,한화,10,1
17,06.21,삼성,5,한화,2,0
18,06.22,삼성,0,한화,5,1
19,06.23,삼성,10,한화,5,0
20,06.25,한화,14,NC,3,1
21,06.27,한화,5,NC,10,0
22,06.28,키움,6,한화,5,0
23,06.30,키움,6,한화,4,0
24,07.02,한화,2,LG,9,0
25,07.03,한화,1,LG,6,0
26,07.04,한화,3,LG,4,0
27,07.05,KT,10,한화,3,0
28,07.06,KT,8,한화,9,1
29,07.07,KT,4,한화,3,0
30,07.09,SK,0,한화,1,1
31,07.11,SK,5,한화,1,0
32,07.12,한화,0,KIA,5,0
33,07.13,한화,10,KIA,5,1
34,07.14,한화,7,KIA,10,0
35,07.16,NC,3,한화,2,0
36,07.17,NC,14,한화,1,0
37,07.18,NC,7,한화,4,0
38,07.26,한화,8,삼성,9,0
39,07.27,한화,6,삼성,7,0
40,07.28,한화,6,삼성,13,0
41,07.30,한화,2,KT,3,0
42,07.31,한화,5,KT,2,1
43,08.01,한화,3,KT,1,1
44,08.03,SK,3,한화,0,0
45,08.04,SK,2,한화,8,1
46,08.06,한화,3,두산,8,0
47,08.07,한화,7,두산,5,1
48,08.08,한화,2,KIA,5,0
49,08.09,한화,4,KIA,10,0
50,08.10,한화,4,KT,5,0
51,08.11,한화,6,KT,4,1
52,08.13,NC,10,한화,2,0
53,08.14,NC,3,한화,9,1
54,08.15,한화,5,롯데,11,0
55,08.16,한화,2,롯데,1,1
56,08.17,한화,8,키움,4,1
57,08.18,한화,5,키움,4,1
58,08.20,삼성,5,한화,0,0
59,08.22,한화,6,SK,8,0
60,08.23,한화,2,SK,6,0
61,08.24,두산,13,한화,3,0
62,08.25,두산,3,한화,2,0
63,08.27,키움,15,한화,0,0
64,08.28,키움,1,한화,2,1
65,08.30,한화,1,LG,0,1
66,08.31,KT,6,한화,1,0
67,09.01,KT,1,한화,6,1
68,09.03,KIA,6,한화,5,0
69,09.04,KIA,1,한화,0,0
70,09.05,한화,3,NC,0,1
71,09.06,한화,0,NC,4,0
72,09.07,롯데,1,한화,5,1
73,09.08,롯데,12,한화,0,0
74,09.10,LG,5,한화,2,0
75,09.11,LG,5,한화,9,1
76,09.13,한화,5,삼성,4,1
77,09.14,롯데,2,한화,5,1
78,09.15,롯데,7,한화,1,0
79,09.16,한화,11,삼성,1,1
80,09.17,키움,0,한화,1,1
81,09.20,삼성,3,한화,5,1
82,09.23,한화,9,LG,1,1
83,09.25,한화,3,NC,2,1
84,09.26,한화,4,NC,2,1
85,09.28,한화,6,두산,7,0
86,09.29,SK,2,한화,0,0
87,09.30,SK,6,한화,2,0
