날짜,단계,승패여부
2018-06-01,2,1
2018-06-02,3,1
2018-06-03,3,0
2018-06-05,2,0
2018-06-06,3,1
2018-06-07,2,0
2018-06-08,3,1
2018-06-09,3,0
2018-06-10,2,1
2018-06-12,2,1
2018-06-13,2,0
2018-06-14,2,1
2018-06-15,2,0
2018-06-16,2,0
2018-06-17,2,1
2018-06-19,2,0
2018-06-20,2,1
2018-06-21,2,1
2018-06-22,2,1
2018-06-23,2,1
2018-06-24,4,1
2018-06-26,3,0
2018-06-27,3,1
2018-06-28,3,1
2018-06-29,3,1
2018-06-30,2,1
2018-07-03,4,0
2018-07-04,3,0
2018-07-05,3,1
2018-07-06,2,0
2018-07-07,2,0
2018-07-08,3,1
2018-07-10,4,1
2018-07-11,4,0
2018-07-12,4,1
2018-07-17,3,1
2018-07-18,3,0
2018-07-19,3,0
2018-07-20,4,1
2018-07-21,4,0
2018-07-22,4,0
2018-07-24,4,1
2018-07-25,4,0
2018-07-26,4,1
2018-07-27,4,1
2018-07-28,4,0
2018-07-29,4,0
2018-07-31,4,0
2018-08-01,4,1
2018-08-02,4,1
2018-08-04,4,0
2018-08-05,4,0
2018-08-07,4,0
2018-08-08,4,1
2018-08-09,4,0
2018-08-10,4,0
2018-08-11,4,1
2018-08-12,4,1
2018-08-14,4,0
2018-08-16,3,0
2018-09-04,2,1
2018-09-05,2,1
2018-09-06,2,1
2018-09-07,2,0
2018-09-08,2,0
2018-09-09,2,0
2018-09-11,1,1
2018-09-12,1,1
2018-09-13,1,0
2018-09-14,1,0
2018-09-15,1,0
2018-09-16,1,1
2018-09-18,1,0
2018-09-19,1,1
2018-09-20,1,1
2018-09-21,1,0
2018-09-22,1,0
2018-09-23,1,1
2018-09-25,1,0
2018-09-26,1,1
2018-09-27,1,1
2018-09-28,1,1
2018-09-29,1,0
2018-09-30,1,0
