날짜,단계,승패여부
2018-06-01,1,1
2018-06-02,2,1
2018-06-03,2,0
2018-06-05,1,0
2018-06-06,2,1
2018-06-07,1,0
2018-06-08,2,1
2018-06-09,2,0
2018-06-10,1,1
2018-06-12,1,1
2018-06-13,1,0
2018-06-14,1,1
2018-06-15,1,0
2018-06-16,1,0
2018-06-17,1,1
2018-06-19,1,0
2018-06-20,1,1
2018-06-21,1,1
2018-06-22,1,1
2018-06-23,1,1
2018-06-24,3,1
2018-06-26,2,0
2018-06-27,2,1
2018-06-28,2,1
2018-06-29,2,1
2018-06-30,1,1
2018-07-03,3,0
2018-07-04,2,0
2018-07-05,2,1
2018-07-06,1,0
2018-07-07,1,0
2018-07-08,2,1
2018-07-10,3,1
2018-07-11,3,0
2018-07-12,3,1
2018-07-17,2,1
2018-07-18,2,0
2018-07-19,2,0
2018-07-20,3,1
2018-07-21,3,0
2018-07-22,3,0
2018-07-24,3,1
2018-07-25,3,0
2018-07-26,3,1
2018-07-27,3,1
2018-07-28,3,0
2018-07-29,3,0
2018-07-31,3,0
2018-08-01,3,1
2018-08-02,3,1
2018-08-04,3,0
2018-08-05,3,0
2018-08-07,3,0
2018-08-08,3,1
2018-08-09,3,0
2018-08-10,3,0
2018-08-11,3,1
2018-08-12,3,1
2018-08-14,3,0
2018-08-16,2,0
2018-09-04,1,1
2018-09-05,1,1
2018-09-06,1,1
2018-09-07,1,0
2018-09-08,1,0
2018-09-09,1,0
2018-09-11,1,1
2018-09-12,1,1
2018-09-13,1,0
2018-09-14,1,0
2018-09-15,1,0
2018-09-16,1,1
2018-09-18,1,0
2018-09-19,1,1
2018-09-20,1,1
2018-09-21,1,0
2018-09-22,1,0
2018-09-23,1,1
2018-09-25,1,0
2018-09-26,1,1
2018-09-27,1,1
2018-09-28,1,1
2018-09-29,1,0
2018-09-30,1,0
