날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2018-06-01,1,1,5,1,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0.338,0.392,0.548,0.94,19,1.1,0.5,0.004
2018-06-02,2,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.338,0.391,0.544,0.935,16,0.96,-0.13,-0.004
2018-06-03,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.329,0.382,0.53,0.913,19,0.76,0.04,0.015
2018-06-05,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.325,0.378,0.524,0.902,10,0.38,-0.36,-0.019
2018-06-06,2,1,4,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0.329,0.38,0.541,0.922,13,0.56,1.83,0.071
2018-06-07,1,0,4,1,3,2,0,0,5,1,0,0,0,0,0,1,0,0,1,0.339,0.386,0.557,0.944,11,1.15,1.01,0.128
2018-06-08,2,1,4,2,2,0,0,2,8,3,0,0,0,0,0,2,0,0,0,0.343,0.389,0.59,0.978,16,1.23,2.09,0.217
2018-06-09,2,0,5,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0.339,0.384,0.579,0.963,18,1.72,-1.04,-0.171
2018-06-10,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.333,0.384,0.57,0.954,15,1.43,0.35,0.075
2018-06-12,1,1,4,1,2,0,0,1,5,3,0,0,0,1,0,0,1,0,0,0.337,0.389,0.584,0.974,19,1.61,1.55,0.294
2018-06-13,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.33,0.382,0.572,0.954,15,1.9,-2.42,-0.267
2018-06-14,1,1,5,1,2,0,0,1,5,2,0,0,0,0,0,2,0,0,0,0.332,0.382,0.583,0.965,18,0.48,0.88,0.099
2018-06-15,1,0,4,0,1,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0.33,0.383,0.576,0.959,20,0.82,-0.31,0.068
2018-06-16,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.324,0.379,0.565,0.944,23,1.01,-1.32,-0.086
2018-06-17,1,1,4,1,2,2,0,0,4,1,0,0,0,0,0,2,0,0,0,0.327,0.381,0.573,0.954,16,0.61,0.38,0.049
2018-06-19,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.326,0.379,0.567,0.946,10,0.74,-0.29,-0.012
2018-06-20,1,1,5,1,1,0,0,1,4,3,0,0,0,0,0,2,0,0,0,0.323,0.375,0.573,0.948,19,0.84,0.87,0.061
2018-06-21,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.326,0.378,0.588,0.966,4,1.5,1.87,0.41
2018-06-22,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.32,0.371,0.578,0.949,16,0.9,-1.13,-0.072
2018-06-23,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.316,0.369,0.57,0.94,17,0.75,-0.51,-0.033
2018-06-24,3,1,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.315,0.368,0.565,0.932,17,0.72,-0.16,-0.012
2018-06-26,2,0,4,1,3,0,0,1,6,2,0,0,0,0,0,1,0,0,0,0.322,0.374,0.581,0.954,14,0.29,1.72,-0.015
2018-06-27,2,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.322,0.375,0.577,0.953,15,0.43,0.75,0.053
2018-06-28,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317,0.37,0.568,0.938,11,1.22,-1.22,-0.132
2018-06-29,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.313,0.368,0.561,0.929,19,1.09,-0.51,-0.006
2018-06-30,1,1,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.312,0.366,0.56,0.926,21,1.19,-0.18,0.029
2018-07-03,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.31,0.364,0.556,0.919,10,0.82,-0.44,-0.041
2018-07-04,2,0,2,0,1,1,0,0,2,2,1,0,2,0,1,0,0,0,0,0.311,0.369,0.559,0.928,14,1.4,2.1,0.209
2018-07-05,2,1,4,3,3,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0.318,0.375,0.574,0.948,14,0.8,2.49,0.111
2018-07-06,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314,0.371,0.567,0.938,14,0.46,-0.56,-0.035
2018-07-07,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.368,0.563,0.931,2,1.51,-0.79,-0.076
2018-07-08,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.308,0.364,0.556,0.921,12,0.35,-0.63,-0.026
2018-07-10,3,1,4,0,2,2,0,0,4,1,0,1,0,0,0,1,0,0,0,0.311,0.366,0.563,0.929,16,1.96,0.2,0.079
2018-07-11,3,0,5,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0.313,0.367,0.56,0.927,14,0.26,0.12,-0.028
2018-07-12,3,1,2,2,1,0,0,1,4,1,0,0,2,0,0,1,0,0,0,0.314,0.372,0.57,0.942,14,0.58,0.67,0.113
2018-07-17,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.311,0.37,0.564,0.934,15,0.59,-1.0,-0.011
2018-07-18,2,0,5,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.309,0.367,0.558,0.925,25,2.27,-0.86,-0.135
2018-07-19,2,0,5,1,3,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0.314,0.371,0.562,0.933,12,1.8,1.2,0.198
