날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2018-06-01,2,1,5,1,3,1,0,1,7,5,0,0,0,0,0,0,0,0,0,0.265,0.333,0.391,0.724,18,2.38,4.09,0.637
2018-06-02,3,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.265,0.331,0.387,0.718,15,1.09,-0.38,-0.052
2018-06-03,3,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.264,0.33,0.384,0.713,17,0.55,-0.37,-0.016
2018-06-05,2,0,3,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0.265,0.333,0.389,0.722,16,0.38,1.04,-0.004
2018-06-06,3,1,3,0,2,1,0,0,3,1,1,0,1,0,0,1,0,0,0,0.273,0.342,0.4,0.742,14,1.19,1.48,0.12
2018-07-19,3,0,5,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.276,0.344,0.406,0.75,16,2.15,0.34,-0.056
2018-07-20,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.337,0.397,0.733,15,0.92,-0.99,-0.083
2018-07-21,4,0,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.271,0.34,0.395,0.736,15,1.02,-0.03,0.009
2018-07-22,4,0,3,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.272,0.347,0.394,0.741,18,0.73,0.51,0.016
2018-07-24,4,1,4,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.272,0.348,0.391,0.739,21,0.65,1.39,0.13
2018-07-25,4,0,5,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0.286,0.358,0.402,0.761,16,0.64,1.89,0.165
2018-07-26,4,1,3,2,2,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0.292,0.366,0.411,0.777,18,0.88,0.79,0.141
2018-07-27,4,1,6,1,1,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0.288,0.36,0.409,0.769,16,0.49,-1.25,-0.071
2018-07-28,4,0,5,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.286,0.357,0.404,0.761,17,1.17,-1.21,-0.094
2018-07-29,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.282,0.355,0.398,0.753,13,0.69,-0.49,-0.044
