날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2018-06-01,2,1,5,2,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0.232,0.277,0.345,0.622,19,1.47,0.51,0.018
2018-06-02,3,1,4,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0.232,0.276,0.343,0.62,15,1.63,-1.1,-0.056
2018-06-03,3,0,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.233,0.276,0.342,0.617,13,0.95,-1.08,-0.083
2018-06-05,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.23,0.273,0.338,0.611,5,0.55,-0.51,-0.028
2018-06-06,3,1,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.231,0.273,0.337,0.609,6,0.82,-1.48,-0.109
2018-06-07,2,0,4,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.231,0.272,0.335,0.607,15,0.91,0.19,0.005
2018-06-08,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.272,0.335,0.607,0,0.0,0.0,0.0
2018-06-09,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.272,0.335,0.607,0,0.0,0.0,0.0
2018-06-10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.271,0.333,0.604,3,2.26,-0.26,-0.058
2018-06-13,2,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.231,0.272,0.333,0.605,11,0.72,0.27,0.022
2018-06-14,2,1,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.232,0.272,0.332,0.603,18,1.06,-0.22,0.013
2018-06-15,2,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.229,0.271,0.327,0.599,13,0.33,0.12,0.034
2018-06-16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.228,0.27,0.326,0.596,6,3.23,-0.47,-0.083
2018-06-17,2,1,3,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.229,0.274,0.326,0.6,17,0.48,2.11,0.081
2018-06-19,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.227,0.272,0.323,0.595,9,0.8,-0.44,-0.04
2018-06-20,2,1,3,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.228,0.275,0.336,0.612,13,0.8,1.08,0.18
2018-06-21,2,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.23,0.276,0.336,0.612,7,1.52,-0.61,-0.075
2018-06-22,2,1,3,0,2,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0.235,0.283,0.345,0.628,12,0.96,2.28,0.11
2018-06-23,2,1,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.236,0.283,0.343,0.626,14,0.68,-0.84,-0.024
2018-06-24,4,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.236,0.282,0.341,0.624,19,0.78,-0.22,-0.063
2018-06-26,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.234,0.28,0.339,0.619,11,1.1,-0.79,-0.055
2018-06-27,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.23,0.276,0.333,0.609,14,0.55,-1.11,-0.048
2018-06-28,3,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.227,0.276,0.329,0.605,21,0.79,-0.01,0.002
2018-06-29,3,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.229,0.276,0.329,0.606,9,0.79,-0.04,-0.008
2018-06-30,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.225,0.272,0.324,0.597,17,2.26,-1.49,-0.243
2018-07-03,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.223,0.27,0.322,0.592,14,0.36,-0.3,-0.018
2018-07-04,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0.268,0.318,0.586,6,0.96,-0.31,-0.023
2018-07-05,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.219,0.266,0.316,0.582,6,1.31,-1.17,-0.072
2018-07-06,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.265,0.315,0.58,3,0.07,-0.26,-0.002
2018-07-07,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.221,0.266,0.316,0.583,2,0.86,0.22,0.053
2018-07-08,3,1,3,1,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.222,0.267,0.32,0.587,11,1.27,1.3,0.163
2018-07-10,4,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.222,0.267,0.319,0.586,18,1.54,0.07,-0.07
2018-07-11,4,0,5,1,3,2,0,0,5,3,0,0,0,0,0,1,0,0,0,0.229,0.272,0.331,0.603,18,0.18,2.88,0.021
2018-07-12,4,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.229,0.272,0.33,0.602,11,0.78,-0.28,-0.005
2018-07-17,3,1,3,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.23,0.275,0.33,0.605,9,0.47,0.17,0.002
2018-07-18,3,0,5,0,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0.23,0.274,0.328,0.602,23,1.93,-0.19,-0.099
2018-07-19,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.227,0.271,0.324,0.596,19,0.94,-0.84,-0.082
2018-07-20,4,1,3,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.228,0.274,0.325,0.599,21,1.11,-0.09,0.007
2018-07-21,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.229,0.274,0.324,0.597,11,1.41,-0.75,-0.036
2018-07-22,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,0.271,0.319,0.59,8,0.93,-0.88,-0.094
2018-07-24,4,1,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.229,0.273,0.322,0.595,14,0.54,0.96,0.12
2018-07-25,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.229,0.275,0.321,0.595,9,0.71,0.01,0.002
2018-07-26,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.226,0.271,0.317,0.588,14,0.72,-1.2,-0.068
2018-07-27,4,1,5,2,2,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0.228,0.273,0.327,0.6,14,0.53,2.44,0.091
2018-07-28,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.225,0.269,0.322,0.592,19,0.89,-2.73,-0.17
2018-07-29,4,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.227,0.273,0.323,0.596,15,1.06,-0.23,-0.025
2018-07-31,4,0,3,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.228,0.275,0.323,0.599,15,2.26,-0.68,-0.149
2018-08-01,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.226,0.273,0.32,0.593,12,0.58,-0.56,-0.043
2018-08-02,4,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.226,0.273,0.32,0.592,17,3.22,-1.37,-0.358
2018-08-04,4,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.23,0.277,0.324,0.6,15,0.46,0.44,0.022
2018-08-05,4,0,4,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.239,0.285,0.331,0.616,10,1.54,1.25,0.137
2018-08-07,4,0,3,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.24,0.287,0.334,0.621,15,1.06,0.38,0.023
2018-08-08,4,1,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.24,0.286,0.333,0.62,15,0.63,-0.45,0.016
2018-08-09,4,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.242,0.288,0.334,0.622,7,0.92,0.03,0.011
2018-08-10,4,0,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.244,0.29,0.339,0.629,9,2.01,0.24,-0.015
2018-08-11,4,1,4,2,2,1,1,0,5,1,0,0,0,0,0,1,0,0,0,0.247,0.292,0.349,0.641,8,1.77,1.79,0.356
2018-08-12,4,1,5,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.247,0.291,0.347,0.638,17,1.45,-0.17,0.125
2018-08-14,4,0,4,2,2,1,0,1,6,2,1,0,0,0,0,2,0,0,0,0.249,0.293,0.359,0.652,16,0.82,1.83,0.121
2018-08-16,3,0,3,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.25,0.293,0.362,0.655,18,1.74,0.4,0.015
2018-09-04,2,1,3,1,2,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0.253,0.298,0.364,0.662,11,1.35,0.11,0.067
2018-09-05,2,1,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.251,0.297,0.36,0.657,20,0.36,-0.54,-0.011
2018-09-06,2,1,5,1,1,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0.25,0.295,0.361,0.656,19,0.75,-1.29,-0.108
2018-09-07,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.248,0.293,0.358,0.651,10,0.79,-0.74,-0.056
2018-09-08,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.247,0.292,0.356,0.648,9,0.47,-0.3,-0.024
2018-09-09,2,0,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.245,0.291,0.354,0.645,16,0.99,0.16,0.033
2018-09-11,1,1,5,1,2,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0.247,0.293,0.354,0.647,15,1.59,-0.68,-0.155
2018-09-12,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.244,0.29,0.351,0.641,7,0.43,-0.75,-0.025
2018-09-13,2,0,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.245,0.292,0.35,0.642,18,1.25,-0.23,0.026
2018-09-14,2,0,3,1,1,0,0,1,4,3,0,0,1,0,0,2,0,0,0,0.246,0.294,0.358,0.652,20,1.15,1.28,0.043
2018-09-15,3,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.246,0.296,0.357,0.653,17,0.14,-0.05,0.016
2018-09-16,2,1,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.246,0.295,0.359,0.654,13,0.37,-0.39,0.025
