날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2018-06-01,2,1,1,1,0,0,1,4,2,0,0,1,0,1,2,0,0,0,0.337,0.405,0.668,1.074,22,1.11,0.83,0.0
2018-06-02,3,1,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0.337,0.407,0.668,1.075,6,1.15,0.97,0.097
2018-06-03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.33,0.4,0.655,1.055,24,0.89,-1.32,-0.109
2018-06-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.327,0.397,0.649,1.045,9,0.56,-0.52,-0.028
2018-06-06,3,1,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0.325,0.394,0.641,1.035,13,0.85,-0.06,0.031
2018-06-07,2,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0.329,0.394,0.638,1.033,13,1.43,0.68,0.008
2018-06-08,3,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0.329,0.396,0.634,1.03,19,0.78,-0.88,-0.073
2018-06-09,3,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0.326,0.392,0.624,1.016,25,1.76,-0.48,-0.125
2018-06-10,2,1,0,3,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0.332,0.396,0.628,1.024,21,2.29,0.56,0.149
2018-06-12,2,1,1,3,2,0,0,5,1,1,0,0,0,0,0,1,0,0,0.338,0.4,0.636,1.036,17,1.06,1.82,0.141
2018-06-13,2,0,0,1,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0.338,0.402,0.637,1.038,18,1.12,0.26,0.018
2018-06-14,2,1,3,3,1,0,2,10,4,0,0,0,0,0,0,0,0,0,0.343,0.405,0.665,1.07,15,0.53,3.53,0.15
2018-06-15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.339,0.401,0.657,1.058,15,1.29,-1.34,-0.108
2018-06-16,2,0,1,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0.34,0.401,0.656,1.057,20,1.05,-0.43,0.049
2018-06-17,2,1,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0.343,0.401,0.653,1.054,21,0.56,1.41,0.164
2018-06-19,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.339,0.399,0.646,1.044,18,0.81,-0.4,-0.045
2018-06-20,2,1,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.34,0.399,0.645,1.043,22,0.53,1.08,0.101
2018-06-21,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.336,0.397,0.637,1.034,15,1.05,-0.47,-0.026
2018-06-22,2,1,1,2,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0.337,0.397,0.637,1.033,20,0.71,0.29,-0.017
2018-06-23,2,1,2,3,1,0,2,10,4,0,0,0,0,0,0,0,0,0,0.342,0.4,0.662,1.062,19,0.87,3.28,0.129
2018-06-24,4,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0.341,0.398,0.667,1.065,11,1.79,1.51,0.265
2018-06-26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.337,0.394,0.659,1.054,18,0.39,-0.69,-0.032
2018-06-27,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.336,0.392,0.654,1.046,14,0.83,-0.28,0.013
2018-06-28,3,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0.334,0.391,0.659,1.049,13,1.56,2.27,-0.017
2018-06-29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.386,0.649,1.035,9,1.27,-1.63,-0.153
2018-06-30,2,1,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.329,0.384,0.647,1.032,15,1.25,0.56,0.028
2018-07-03,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.326,0.381,0.641,1.022,11,0.85,-0.86,-0.061
2018-07-04,3,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0.325,0.381,0.636,1.017,25,0.97,-0.11,-0.027
2018-07-05,3,1,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.322,0.378,0.632,1.01,17,0.4,-0.35,-0.038
2018-07-06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.319,0.375,0.626,1.001,11,0.72,-0.78,-0.048
2018-07-07,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.319,0.376,0.623,0.999,14,1.05,-0.1,0.025
2018-07-08,3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.319,0.375,0.618,0.993,20,0.43,0.02,-0.014
2018-07-10,4,1,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.321,0.376,0.62,0.996,13,1.32,0.3,0.147
2018-07-11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319,0.374,0.616,0.99,7,0.48,-0.64,-0.024
2018-07-12,4,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.321,0.376,0.615,0.99,21,0.77,0.32,0.036
2018-07-17,3,1,1,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.32,0.374,0.613,0.988,24,0.58,0.99,0.033
2018-07-18,3,0,1,3,0,0,0,3,0,1,1,2,0,2,1,0,0,0,0.325,0.382,0.615,0.997,18,1.77,1.45,0.116
2018-07-19,3,0,1,3,2,0,0,5,3,0,0,0,0,0,1,0,0,0,0.329,0.385,0.621,1.005,26,2.0,2.45,0.132
2018-07-20,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.327,0.383,0.615,0.998,11,1.21,-0.6,-0.091
2018-07-21,4,0,1,2,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0.329,0.384,0.62,1.004,19,0.75,0.43,0.066
2018-07-22,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.328,0.383,0.615,0.998,12,0.87,-0.26,-0.008
2018-07-24,4,1,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.327,0.382,0.62,1.001,14,0.47,-0.06,0.016
2018-07-25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0.378,0.613,0.991,12,1.19,-0.55,-0.02
2018-07-26,4,1,1,2,1,0,0,3,2,0,0,0,0,0,1,1,0,0,0.325,0.379,0.614,0.993,13,0.94,0.84,0.151
2018-07-27,4,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.326,0.38,0.614,0.993,9,1.41,0.25,0.023
2018-07-28,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.328,0.381,0.615,0.996,3,2.09,1.0,0.059
2018-07-29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0.38,0.613,0.993,1,1.22,-0.25,-0.035
2018-07-31,4,0,1,1,0,0,1,4,3,0,0,1,0,1,0,0,0,0,0.327,0.381,0.619,1.0,9,1.86,2.49,0.337
2018-08-01,4,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.327,0.383,0.617,0.999,12,1.11,1.03,0.085
2018-08-02,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.324,0.381,0.612,0.993,12,1.44,-0.48,-0.04
2018-08-04,4,0,0,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0.326,0.384,0.613,0.997,23,0.99,0.77,0.047
