날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2018-06-01,3,2,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0.318,0.416,0.358,0.773,28,1.58,-0.03,0.035
2018-06-02,5,0,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0.315,0.411,0.353,0.764,19,1.33,-1.69,-0.132
2018-06-03,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.314,0.408,0.356,0.764,12,0.77,-0.47,-0.076
2018-06-05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309,0.403,0.351,0.753,12,0.57,-0.75,-0.043
2018-06-06,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.304,0.403,0.345,0.748,25,0.78,-0.10,0.022
2018-06-07,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.307,0.403,0.347,0.749,19,1.18,0.84,-0.003
2018-06-08,3,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0.302,0.402,0.342,0.744,23,0.84,-0.06,-0.005
2018-06-09,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0.394,0.333,0.728,25,1.48,-1.22,-0.170
2018-06-10,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.294,0.394,0.332,0.726,11,0.81,0.17,0.026
2018-06-12,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.287,0.387,0.324,0.711,22,0.85,-0.31,-0.034
2018-06-13,2,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0.289,0.390,0.326,0.716,13,1.14,0.24,-0.006
2018-06-14,4,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.288,0.390,0.324,0.714,22,0.80,-0.28,-0.067
2018-06-15,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.286,0.390,0.321,0.711,14,1.34,0.48,0.020
2018-06-16,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.284,0.386,0.319,0.705,22,1.24,-0.92,-0.139
2018-06-17,4,2,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0.288,0.390,0.322,0.712,19,0.44,0.56,-0.039
2018-06-19,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.284,0.388,0.318,0.706,22,0.56,-0.28,-0.031
2018-06-20,3,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.280,0.388,0.314,0.702,24,0.86,0.28,0.079
2018-06-21,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.279,0.385,0.311,0.696,23,1.49,-0.70,-0.123
2018-06-22,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.278,0.385,0.310,0.696,27,0.87,-0.22,0.008
2018-06-23,4,1,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0.282,0.389,0.313,0.702,16,0.94,2.74,0.189
2018-06-24,5,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.284,0.389,0.315,0.704,20,1.06,-0.65,-0.086
2018-06-26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0.385,0.312,0.697,10,0.51,-0.76,-0.038
2018-06-27,3,2,2,1,0,0,3,1,1,1,1,0,0,1,0,0,0,0.285,0.390,0.319,0.709,22,0.86,1.31,0.095
2018-06-28,2,1,1,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0.287,0.396,0.321,0.717,20,0.86,1.18,0.013
2018-06-29,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.284,0.394,0.317,0.712,18,0.91,-0.23,0.013
2018-06-30,3,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0.288,0.399,0.321,0.720,14,1.11,0.78,0.099
2018-07-04,4,1,3,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0.295,0.403,0.331,0.734,13,1.04,0.80,0.090
2018-07-05,5,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.293,0.400,0.329,0.729,26,0.87,-0.32,0.029
2018-07-06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290,0.396,0.325,0.722,14,0.70,-0.70,-0.053
2018-07-07,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.289,0.397,0.324,0.721,26,1.15,0.04,-0.026
2018-07-08,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.292,0.398,0.326,0.724,13,0.75,1.55,0.109
2018-07-10,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.289,0.396,0.323,0.719,18,1.91,-0.53,-0.053
2018-07-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,0.394,0.321,0.715,9,0.69,-0.44,-0.035
2018-07-12,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.284,0.394,0.318,0.712,22,0.80,-0.37,-0.028
2018-07-17,5,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.283,0.391,0.316,0.707,18,0.59,-0.07,-0.059
2018-07-18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0.385,0.310,0.695,21,1.89,-2.35,-0.331
2018-07-19,4,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0.277,0.382,0.309,0.691,19,1.46,0.05,-0.066
2018-07-20,4,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0.280,0.384,0.311,0.695,16,1.31,0.05,0.012
2018-07-21,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.279,0.381,0.310,0.691,20,1.40,-0.68,-0.107
2018-07-22,4,2,2,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0.281,0.384,0.315,0.699,27,0.98,2.07,0.163
2018-07-24,4,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0.284,0.385,0.317,0.702,25,0.45,-0.21,-0.009
2018-07-25,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.285,0.386,0.321,0.707,3,1.58,0.72,0.086
2018-07-26,4,2,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.288,0.387,0.323,0.710,15,1.18,1.31,0.145
2018-07-27,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.288,0.387,0.324,0.710,6,0.47,0.61,0.001
