날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2019-06-09,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,8,1.89,0.14,0.035
2019-06-11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.333,13,0.89,-0.92,-0.071
2019-06-12,2,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.3,0.364,0.3,0.664,25,0.7,0.76,0.063
2019-06-13,2,0,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.333,0.467,0.333,0.8,21,1.73,0.83,0.119
2019-06-14,2,0,1,1,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0.333,0.5,0.4,0.9,25,1.6,0.75,0.09
2019-06-15,2,0,1,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0.316,0.48,0.368,0.848,26,0.79,0.07,0.024
2019-06-16,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.261,0.414,0.304,0.718,13,0.95,-1.08,-0.093
2019-06-18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.214,0.353,0.25,0.603,24,0.3,-1.96,-0.058
2019-06-19,3,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0.226,0.342,0.258,0.6,22,1.08,-0.5,-0.057
2019-06-20,3,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.229,0.349,0.257,0.606,21,1.51,0.11,-0.037
2019-06-21,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.211,0.34,0.237,0.577,21,1.39,-0.45,-0.009
2019-06-22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.32,0.22,0.54,11,1.17,-0.84,-0.087
2019-06-25,2,1,1,2,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0.222,0.345,0.244,0.59,18,0.54,1.15,0.042
2019-06-27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.339,0.239,0.578,3,1.72,-0.83,-0.083
2019-06-28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.317,0.22,0.537,14,1.91,-1.8,-0.205
2019-06-30,3,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0.226,0.333,0.245,0.579,7,1.32,0.78,0.13
2019-07-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.323,0.236,0.559,7,1.01,-0.52,-0.05
2019-07-03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.318,0.232,0.55,2,0.97,-0.18,-0.024
2019-07-05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.313,0.228,0.542,2,0.04,-0.18,-0.001
2019-07-06,3,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.224,0.324,0.259,0.582,4,1.8,0.43,0.118
2019-07-07,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.324,0.259,0.582,0,0.0,0.0,0.0
2019-07-09,3,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.23,0.324,0.262,0.586,11,1.07,-0.16,-0.038
2019-07-11,3,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.231,0.32,0.262,0.582,12,0.99,-0.68,-0.06
2019-07-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.316,0.258,0.573,1,0.06,-0.12,-0.002
2019-07-14,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.235,0.321,0.265,0.585,8,2.65,0.74,0.064
2019-07-16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.309,0.254,0.562,12,1.23,-0.82,-0.1
2019-07-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.305,0.25,0.555,7,0.01,-0.18,0.0
2019-07-18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.216,0.298,0.243,0.541,5,1.05,-0.6,-0.057
2019-07-26,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.216,0.306,0.243,0.549,5,0.54,0.28,0.026
2019-07-28,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,0.302,0.24,0.542,7,0.0,0.22,0.0
2019-08-01,4,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.221,0.315,0.247,0.561,12,0.9,0.63,0.07
2019-08-04,4,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.225,0.315,0.25,0.565,18,0.65,0.04,-0.009
2019-08-06,4,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.235,0.323,0.272,0.594,3,0.02,1.26,0.002
2019-08-07,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0.226,0.313,0.262,0.574,9,1.91,-2.52,-0.246
2019-08-09,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.218,0.31,0.253,0.563,19,0.53,-0.91,-0.029
2019-08-10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.31,0.253,0.563,0,0.0,0.0,0.0
2019-08-11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.31,0.253,0.563,0,0.0,0.0,0.0
2019-08-13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.31,0.253,0.563,0,0.0,0.0,0.0
2019-08-15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.211,0.301,0.244,0.545,9,0.67,-0.74,-0.046
2019-09-01,3,1,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.213,0.299,0.245,0.544,18,0.65,0.18,0.067
2019-09-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.211,0.296,0.242,0.538,3,2.48,-0.26,-0.063
2019-09-04,3,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0.222,0.304,0.253,0.556,19,1.51,-0.01,-0.052
2019-09-06,3,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.228,0.307,0.267,0.574,9,0.5,0.31,0.026
2019-09-08,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.225,0.304,0.265,0.569,4,0.0,-0.26,0.0
2019-09-10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.221,0.299,0.26,0.559,7,0.6,-0.44,-0.031
2019-09-11,3,1,2,2,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0.234,0.32,0.271,0.591,23,0.38,0.3,0.037
2019-09-13,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.241,0.325,0.278,0.603,4,0.5,0.28,0.017
2019-09-15,4,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0.236,0.336,0.273,0.609,24,0.76,0.7,0.102
2019-09-16,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.241,0.338,0.277,0.615,12,0.01,1.61,0.0
2019-09-20,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.241,0.344,0.277,0.62,2,3.18,1.39,0.215
2019-09-23,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.239,0.341,0.274,0.615,7,0.01,-0.25,0.0
2019-09-25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0.341,0.274,0.615,0,0.0,0.0,0.0
