날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2019-06-01,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.318,0.422,0.396,0.818,13,1.28,-0.24,-0.002
2019-06-02,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.316,0.418,0.392,0.81,21,0.73,-0.81,-0.075
2019-06-04,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.317,0.417,0.391,0.808,18,1.01,0.02,0.021
2019-06-05,2,1,0,1,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0.317,0.421,0.39,0.812,19,0.96,0.8,0.02
2019-06-06,3,1,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0.323,0.423,0.395,0.818,12,1.32,0.96,0.131
2019-06-07,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.322,0.42,0.392,0.811,8,0.83,-0.04,-0.001
2019-06-08,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.322,0.421,0.391,0.812,19,1.23,0.32,0.08
2019-06-09,2,0,0,1,1,0,0,2,0,0,0,1,0,1,0,2,0,0,0.32,0.421,0.393,0.814,19,1.33,-1.05,-0.154
2019-06-11,2,1,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.32,0.422,0.409,0.831,24,0.98,2.03,0.127
2019-06-12,2,0,2,2,0,0,1,5,2,0,0,2,0,0,1,0,0,0,0.326,0.43,0.429,0.86,32,1.19,1.93,0.103
2019-06-13,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.323,0.432,0.425,0.856,22,1.3,0.65,0.068
2019-06-14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.314,0.422,0.414,0.836,25,1.68,-1.83,-0.24
2019-06-15,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.311,0.418,0.408,0.826,16,0.68,-0.57,-0.091
2019-06-16,2,0,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.315,0.419,0.41,0.829,13,0.85,0.69,0.076
2019-06-18,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.315,0.418,0.409,0.827,11,0.37,-0.52,-0.024
2019-06-19,3,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0.313,0.414,0.404,0.818,17,0.89,-0.46,-0.049
2019-06-20,3,1,1,1,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0.311,0.413,0.401,0.814,18,3.36,-0.44,-0.027
