날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2019-06-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.258,0.3,0.402,0.702,19,1.13,-1.02,-0.115
2019-06-04,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.298,0.4,0.698,1,1.8,-0.18,-0.045
2019-06-05,2,1,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0.261,0.3,0.402,0.702,19,1.71,-0.68,-0.077
2019-06-06,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.257,0.3,0.396,0.696,21,0.91,-0.74,-0.048
2019-06-07,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.255,0.297,0.392,0.689,8,0.95,-0.2,0.007
2019-06-08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.25,0.291,0.385,0.676,14,2.13,-1.55,-0.216
2019-06-09,2,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0.254,0.294,0.385,0.679,21,1.22,-0.38,-0.088
2019-06-25,2,1,1,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0.252,0.295,0.381,0.676,21,0.74,-0.68,-0.097
2019-06-27,3,0,1,2,1,0,0,3,1,0,0,0,0,0,1,0,0,1,0.257,0.297,0.387,0.684,14,1.08,-0.6,-0.033
2019-06-28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.252,0.292,0.381,0.673,15,2.07,-1.05,-0.168
2019-06-30,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.252,0.291,0.378,0.67,14,1.38,0.03,-0.021
2019-07-02,2,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.256,0.295,0.385,0.679,8,0.43,0.47,0.008
2019-07-03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0.29,0.378,0.668,12,0.66,-0.88,-0.066
2019-07-04,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.253,0.293,0.378,0.671,13,1.07,-0.08,-0.06
2019-07-05,4,0,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.253,0.293,0.388,0.681,12,0.7,0.16,0.018
2019-07-06,3,1,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.256,0.295,0.388,0.683,11,3.15,0.35,0.116
2019-07-07,3,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.259,0.297,0.388,0.685,17,1.83,-0.01,0.053
2019-07-09,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.258,0.295,0.385,0.68,11,1.42,0.18,0.202
2019-07-11,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.261,0.298,0.386,0.684,11,0.88,0.5,0.05
