날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2019-06-01,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.247,0.327,0.339,0.666,17,1.46,0.12,0.124
2019-06-02,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0.322,0.333,0.656,7,1.02,-0.74,-0.074
2019-06-04,3,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.244,0.321,0.332,0.653,13,1.02,-0.46,-0.077
2019-06-05,2,1,4,1,2,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0.249,0.327,0.335,0.662,27,1.37,1.48,0.164
2019-06-06,3,1,4,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.249,0.329,0.333,0.662,21,1.49,0.58,0.109
2019-06-07,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.244,0.323,0.327,0.65,19,0.99,-0.99,-0.072
2019-06-08,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.24,0.319,0.322,0.641,17,1.39,-1.48,-0.148
2019-07-04,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.315,0.318,0.633,11,1.01,-0.7,-0.077
2019-07-05,4,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.238,0.315,0.318,0.633,12,0.39,0.04,0.01
2019-07-06,3,1,4,1,3,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0.248,0.322,0.339,0.662,15,1.3,2.25,0.291
2019-07-07,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.244,0.321,0.335,0.656,16,1.62,-1.47,-0.153
2019-07-09,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0.321,0.335,0.656,0,0.0,0.0,0.0
2019-07-12,3,0,2,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0.247,0.328,0.336,0.664,23,0.53,0.52,0.028
2019-07-13,3,1,5,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.25,0.329,0.338,0.667,20,0.43,-0.1,0.033
2019-07-14,3,0,4,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0.246,0.327,0.332,0.659,20,2.09,-1.78,-0.308
2019-07-16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.245,0.326,0.33,0.656,6,2.48,-0.26,-0.063
2019-07-17,2,0,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.245,0.325,0.333,0.658,13,0.24,-0.33,-0.024
2019-07-18,3,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.246,0.327,0.333,0.661,16,0.95,0.51,0.067
2019-07-26,4,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.245,0.331,0.332,0.663,17,1.13,0.33,0.032
2019-07-27,4,0,5,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.244,0.329,0.329,0.658,20,0.88,-1.06,-0.038
2019-07-28,4,0,3,1,2,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0.249,0.335,0.337,0.672,13,0.41,1.72,0.109
2019-07-30,3,0,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.253,0.337,0.34,0.677,15,1.56,1.64,0.211
2019-07-31,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.249,0.332,0.335,0.667,11,1.31,-1.74,-0.17
