날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2019-06-01,2,1,5,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.304,0.358,0.423,0.781,18,1.28,1.41,0.114
2019-06-02,2,0,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.303,0.357,0.42,0.777,21,0.94,-0.3,-0.037
2019-06-04,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.297,0.35,0.411,0.761,18,1.44,-1.77,-0.234
2019-06-05,2,1,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297,0.352,0.41,0.762,19,1.35,0.93,0.068
2019-06-06,3,1,3,2,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0.298,0.354,0.413,0.767,14,1.41,1.68,0.232
2019-06-07,2,1,4,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.297,0.353,0.415,0.767,17,0.88,1.22,0.191
2019-06-08,2,0,3,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.297,0.355,0.418,0.773,15,1.0,-0.04,0.053
2019-06-09,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.29,0.347,0.408,0.755,30,1.88,-2.2,-0.272
2019-06-11,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.287,0.346,0.403,0.749,16,0.83,-0.32,-0.031
2019-06-12,2,0,5,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.285,0.344,0.403,0.747,20,0.81,0.42,0.032
2019-06-13,2,0,4,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.288,0.348,0.404,0.752,20,0.94,0.54,0.096
2019-06-14,2,0,3,1,2,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0.293,0.355,0.407,0.763,24,1.38,1.25,0.172
2019-06-15,2,0,4,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.296,0.357,0.409,0.766,12,0.78,0.64,0.072
2019-06-16,2,0,5,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.294,0.355,0.405,0.76,19,1.21,-1.01,-0.139
2019-06-18,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.292,0.352,0.402,0.755,8,0.02,-0.44,-0.001
2019-06-19,3,0,4,1,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,0.295,0.356,0.414,0.77,22,1.31,1.57,0.082
2019-06-20,3,1,5,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0.29,0.351,0.407,0.758,24,2.79,0.29,0.093
2019-06-21,3,0,3,2,3,2,0,0,5,0,1,1,1,0,0,0,0,0,0,0.297,0.359,0.42,0.778,19,0.97,1.86,0.189
2019-06-22,3,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.297,0.36,0.419,0.779,19,0.58,-0.12,-0.018
2019-06-23,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.296,0.358,0.415,0.773,17,0.56,-0.41,-0.007
2019-06-25,2,1,5,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.294,0.358,0.412,0.769,28,0.59,0.13,-0.023
2019-06-27,3,0,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.296,0.358,0.412,0.77,14,0.41,0.18,-0.037
2019-06-28,3,0,3,0,2,1,0,0,3,2,1,0,1,0,0,0,0,1,0,0.299,0.363,0.417,0.78,17,2.73,2.88,0.39
2019-06-30,3,0,5,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.301,0.363,0.42,0.783,15,1.1,-0.07,-0.027
2019-07-02,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.297,0.359,0.415,0.774,15,0.71,-0.92,-0.051
2019-07-03,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.355,0.41,0.765,14,0.71,-0.75,-0.073
2019-07-04,3,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.293,0.354,0.408,0.762,18,0.67,-0.5,-0.01
2019-07-05,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.35,0.403,0.753,19,0.48,-0.88,-0.048
2019-07-06,3,1,5,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.288,0.348,0.403,0.751,17,1.86,-0.7,-0.024
2019-07-07,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.284,0.344,0.397,0.741,15,1.41,-1.21,-0.178
2019-07-09,3,1,5,1,2,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0.286,0.344,0.397,0.742,20,1.33,-0.36,-0.022
2019-07-11,3,0,4,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.285,0.345,0.395,0.741,26,1.03,-0.34,-0.046
2019-07-12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.343,0.392,0.735,15,0.76,-0.77,-0.058
2019-07-13,3,1,3,3,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0.283,0.346,0.394,0.74,24,0.38,1.32,0.025
2019-07-14,3,0,5,0,2,1,1,0,5,1,0,1,0,0,0,0,0,0,0,0.285,0.346,0.403,0.749,17,1.93,-0.19,0.083
