날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2019-06-01,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.295,0.419,0.384,0.803,17,1.14,0.68,0.094
2019-06-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0.414,0.378,0.793,7,0.79,-0.36,-0.039
2019-06-04,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.289,0.411,0.375,0.786,21,1.23,-0.78,-0.115
2019-06-05,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.288,0.407,0.372,0.779,10,1.18,-0.29,0.019
2019-06-06,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.289,0.409,0.371,0.78,17,0.89,0.05,-0.023
2019-06-07,2,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.296,0.413,0.377,0.79,20,0.89,0.17,-0.008
2019-06-08,2,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.303,0.417,0.382,0.799,10,1.42,0.73,0.023
2019-06-09,2,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0.301,0.424,0.38,0.803,19,1.13,-0.09,0.009
2019-06-11,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.304,0.424,0.381,0.805,9,1.33,-0.2,-0.036
2019-06-13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0.422,0.379,0.801,3,0.7,-0.18,-0.017
2019-06-14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.42,0.376,0.797,2,2.16,-0.26,-0.055
2019-06-16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298,0.418,0.374,0.793,3,0.4,-0.18,-0.01
2019-06-18,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.297,0.419,0.372,0.791,13,0.35,-0.1,0.025
2019-06-19,3,0,1,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0.309,0.43,0.383,0.813,18,1.03,0.97,0.097
2019-06-20,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.305,0.429,0.379,0.807,14,1.49,0.5,0.088
