,연도,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도류,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2019,06-09,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,1.89,0.14,0.035
1,2019,06-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.333,13,0.89,-0.92,-0.071
2,2019,06-12,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.300,0.364,0.300,0.664,25,0.70,0.76,0.063
3,2019,06-13,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.333,0.467,0.333,0.800,21,1.73,0.83,0.119
4,2019,06-14,1,1,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0.333,0.500,0.400,0.900,25,1.60,0.75,0.090
5,2019,06-15,1,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0.316,0.480,0.368,0.848,26,0.79,0.07,0.024
6,2019,06-16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.261,0.414,0.304,0.718,13,0.95,-1.08,-0.093
7,2019,06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.214,0.353,0.250,0.603,24,0.30,-1.96,-0.058
8,2019,06-19,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0.226,0.342,0.258,0.600,22,1.08,-0.50,-0.057
9,2019,06-20,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.229,0.349,0.257,0.606,21,1.51,0.11,-0.037
10,2019,06-21,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.211,0.340,0.237,0.577,21,1.39,-0.45,-0.009
11,2019,06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.320,0.220,0.540,11,1.17,-0.84,-0.087
12,2019,06-25,1,2,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0.222,0.345,0.244,0.590,18,0.54,1.15,0.042
13,2019,06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.339,0.239,0.578,3,1.72,-0.83,-0.083
14,2019,06-28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.317,0.220,0.537,14,1.91,-1.80,-0.205
15,2019,06-30,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0.226,0.333,0.245,0.579,7,1.32,0.78,0.130
16,2019,07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.323,0.236,0.559,7,1.01,-0.52,-0.050
17,2019,07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.318,0.232,0.550,2,0.97,-0.18,-0.024
18,2019,07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.313,0.228,0.542,2,0.04,-0.18,-0.001
19,2019,07-06,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.224,0.324,0.259,0.582,4,1.80,0.43,0.118
20,2019,07-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.324,0.259,0.582,0,0.00,0.00,0.000
21,2019,07-09,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.230,0.324,0.262,0.586,11,1.07,-0.16,-0.038
22,2019,07-11,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.231,0.320,0.262,0.582,12,0.99,-0.68,-0.060
23,2019,07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0.316,0.258,0.573,1,0.06,-0.12,-0.002
24,2019,07-14,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.235,0.321,0.265,0.585,8,2.65,0.74,0.064
25,2019,07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.309,0.254,0.562,12,1.23,-0.82,-0.100
26,2019,07-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.222,0.305,0.250,0.555,7,0.01,-0.18,0.000
27,2019,07-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.216,0.298,0.243,0.541,5,1.05,-0.60,-0.057
28,2019,07-26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.216,0.306,0.243,0.549,5,0.54,0.28,0.026
29,2019,07-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,0.302,0.240,0.542,7,0.00,0.22,0.000
30,2019,08-01,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.221,0.315,0.247,0.561,12,0.90,0.63,0.070
31,2019,08-04,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.225,0.315,0.250,0.565,18,0.65,0.04,-0.009
32,2019,08-06,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.235,0.323,0.272,0.594,3,0.02,1.26,0.002
33,2019,08-07,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0.226,0.313,0.262,0.574,9,1.91,-2.52,-0.246
34,2019,08-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.218,0.310,0.253,0.563,19,0.53,-0.91,-0.029
35,2019,08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.310,0.253,0.563,0,0.00,0.00,0.000
36,2019,08-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.310,0.253,0.563,0,0.00,0.00,0.000
37,2019,08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.310,0.253,0.563,0,0.00,0.00,0.000
38,2019,08-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.211,0.301,0.244,0.545,9,0.67,-0.74,-0.046
39,2019,09-01,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.213,0.299,0.245,0.544,18,0.65,0.18,0.067
40,2019,09-03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.211,0.296,0.242,0.538,3,2.48,-0.26,-0.063
41,2019,09-04,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0.222,0.304,0.253,0.556,19,1.51,-0.01,-0.052
42,2019,09-06,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.228,0.307,0.267,0.574,9,0.50,0.31,0.026
43,2019,09-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.225,0.304,0.265,0.569,4,0.00,-0.26,0.000
44,2019,09-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.221,0.299,0.260,0.559,7,0.60,-0.44,-0.031
45,2019,09-11,2,2,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0.234,0.320,0.271,0.591,23,0.38,0.30,0.037
46,2019,09-13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.241,0.325,0.278,0.603,4,0.50,0.28,0.017
47,2019,09-15,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0.236,0.336,0.273,0.609,24,0.76,0.70,0.102
48,2019,09-16,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.241,0.338,0.277,0.615,12,0.01,1.61,0.000
49,2019,09-20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.241,0.344,0.277,0.620,2,3.18,1.39,0.215
50,2019,09-23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.239,0.341,0.274,0.615,7,0.01,-0.25,0.000
51,2019,09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0.341,0.274,0.615,0,0.00,0.00,0.000
