Unnamed: 0.1,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2019-06-01,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.239,0.326,0.465,0.791,18,1.38,-1.13,-0.071
1,2019-06-02,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.242,0.328,0.472,0.8,10,1.13,1.7,0.159
2,2019-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0.326,0.469,0.795,2,1.25,-0.46,-0.046
3,2019-06-05,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.239,0.328,0.466,0.794,8,2.63,-0.59,-0.018
4,2019-06-06,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.235,0.326,0.458,0.784,17,1.0,-0.57,-0.06
5,2019-06-07,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.231,0.321,0.45,0.771,14,0.78,-0.72,-0.062
6,2019-06-08,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.233,0.321,0.453,0.775,5,0.83,0.26,0.03
7,2019-06-09,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.227,0.318,0.443,0.762,12,1.24,-0.6,-0.118
8,2019-06-11,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0.235,0.322,0.453,0.774,18,1.06,0.55,0.093
9,2019-06-12,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.239,0.324,0.457,0.78,11,1.27,0.32,0.043
10,2019-06-13,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.241,0.327,0.455,0.782,12,1.65,0.82,0.187
11,2019-06-14,2,3,0,0,2,9,2,0,0,0,0,0,2,0,0,0,0.25,0.333,0.49,0.823,16,1.35,1.64,0.35
12,2019-06-15,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.251,0.333,0.487,0.821,10,0.55,-0.3,-0.034
13,2019-06-16,1,1,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0.251,0.332,0.487,0.819,19,1.24,0.89,0.045
14,2019-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.33,0.485,0.815,2,0.02,-0.34,-0.001
15,2019-06-19,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.25,0.329,0.48,0.809,11,0.58,-0.3,-0.015
16,2019-06-20,1,1,0,0,1,4,4,0,0,1,0,0,1,0,0,0,0.25,0.331,0.49,0.821,22,3.03,2.86,0.702
17,2019-06-21,0,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0.251,0.333,0.488,0.821,19,0.99,0.71,0.027
18,2019-06-22,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.248,0.332,0.481,0.813,21,0.8,0.78,0.001
19,2019-06-23,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.257,0.339,0.486,0.825,18,0.8,1.27,0.132
20,2019-06-25,2,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.256,0.336,0.493,0.829,23,0.69,-0.79,0.034
21,2019-06-27,0,2,1,0,0,3,2,0,0,2,0,0,0,0,0,0,0.261,0.345,0.5,0.845,18,0.78,2.27,0.134
22,2019-06-28,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.258,0.344,0.493,0.837,19,1.74,-0.4,-0.011
23,2019-06-30,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.255,0.346,0.489,0.835,17,1.62,0.22,0.001
24,2019-07-02,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0.255,0.344,0.485,0.83,14,0.84,-0.07,0.04
25,2019-07-03,1,1,0,0,1,4,1,0,0,0,0,0,2,1,0,0,0.255,0.343,0.494,0.837,12,0.96,-0.18,-0.129
26,2019-07-04,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.252,0.339,0.488,0.827,18,1.07,-0.68,-0.081
27,2019-07-06,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.251,0.337,0.494,0.831,14,1.76,-0.08,-0.106
28,2019-07-07,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.251,0.338,0.49,0.828,15,2.24,-1.02,-0.215
29,2019-07-09,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.249,0.34,0.486,0.826,18,1.38,-0.06,0.033
30,2019-07-11,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.249,0.339,0.482,0.821,16,1.51,-0.44,-0.039
31,2019-07-13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.339,0.481,0.82,6,0.24,-0.01,0.002
32,2019-07-14,3,1,0,0,1,4,1,0,0,2,0,0,0,0,0,0,0.251,0.343,0.49,0.834,18,1.13,1.5,0.169
33,2019-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.342,0.489,0.831,4,2.63,-0.18,-0.065
34,2019-07-17,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.251,0.344,0.487,0.831,16,0.2,-0.46,-0.001
35,2019-07-18,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0.248,0.34,0.481,0.821,10,1.64,-0.75,-0.012
36,2019-07-26,2,2,0,0,2,8,2,0,0,0,0,0,1,1,0,0,0.251,0.341,0.502,0.843,19,1.51,0.17,-0.069
