,연도,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도류,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2019,06-01,1,1,0,0,1,4,3,1,0,1,0,0,0,0,0,0,0.235,0.316,0.333,0.649,8,1.28,2.99,0.066
1,2019,06-02,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.241,0.317,0.352,0.669,10,1.28,-0.13,0.015
2,2019,06-04,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0.224,0.308,0.328,0.635,16,1.16,-1.02,-0.164
3,2019,06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.308,0.328,0.635,0,0.00,0.00,0.000
4,2019,06-06,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0.230,0.309,0.328,0.637,18,1.16,-0.62,-0.020
5,2019,06-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.219,0.296,0.313,0.608,9,1.16,-0.99,-0.090
6,2019,06-08,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.209,0.284,0.299,0.582,12,1.25,-0.60,-0.064
7,2019,06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.280,0.294,0.574,2,1.38,-0.12,-0.035
8,2019,06-11,0,1,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0.214,0.286,0.329,0.614,4,1.23,0.74,0.112
9,2019,06-12,0,2,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0.230,0.296,0.351,0.648,13,1.35,-0.08,-0.001
10,2019,06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0.286,0.338,0.623,11,0.96,-0.63,-0.073
11,2019,06-14,1,2,1,0,0,3,1,1,0,1,0,0,1,0,0,0,0.235,0.303,0.358,0.661,22,1.56,1.69,0.144
