날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2019-06-23,4,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.174,0.256,0.188,0.445,16,0.90,-0.45,-0.028
2019-06-25,5,3,3,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0.203,0.286,0.230,0.515,18,0.54,1.45,0.112
2019-06-27,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.197,0.287,0.224,0.511,17,0.49,0.05,-0.021
2019-06-28,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.286,0.225,0.511,13,1.39,-0.64,-0.117
2019-06-30,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.193,0.277,0.217,0.493,17,1.68,-1.14,-0.108
2019-07-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190,0.274,0.214,0.488,6,0.03,-0.26,-0.001
2019-07-03,3,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.207,0.286,0.230,0.516,11,1.03,-0.22,-0.013
2019-07-04,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.202,0.287,0.225,0.512,12,0.48,-0.16,-0.012
2019-07-05,3,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.207,0.295,0.239,0.534,9,0.45,0.39,-0.024
2019-07-06,5,2,3,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0.227,0.309,0.258,0.567,16,2.63,1.41,0.184
2019-07-07,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.228,0.307,0.287,0.594,7,0.64,0.52,0.111
2019-07-09,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.219,0.297,0.276,0.573,18,1.53,-1.30,-0.154
2019-07-11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.287,0.266,0.553,10,1.14,-1.43,-0.127
2019-07-12,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.205,0.280,0.259,0.539,15,0.54,-0.77,-0.042
2019-07-13,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.205,0.277,0.256,0.533,13,0.33,-0.10,-0.022
2019-07-14,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.210,0.280,0.261,0.541,5,2.80,-0.29,-0.074
2019-07-16,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.217,0.286,0.267,0.552,1,0.94,0.13,0.028
2019-07-17,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.211,0.285,0.260,0.545,15,0.25,-0.52,0.013
2019-07-18,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.208,0.281,0.256,0.537,11,0.63,-0.52,-0.034
2019-07-26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.206,0.284,0.254,0.538,6,0.83,-0.04,0.011
2019-07-27,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.211,0.287,0.258,0.545,5,1.99,0.30,-0.032
2019-07-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0.285,0.256,0.541,3,0.07,-0.38,-0.002
2019-07-30,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.218,0.291,0.263,0.554,17,2.40,-0.20,-0.081
2019-07-31,4,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.219,0.289,0.285,0.574,16,1.04,0.97,0.270
2019-08-01,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.220,0.288,0.284,0.572,20,0.75,-0.61,-0.051
