,ground,place,date,startTime,12,15,18
0,대전,부사동,06.02(화),18,71,73,74
1,대전,부사동,06.03(수),18,74,78,76
2,대전,부사동,06.04(목),18,76,78,77
3,대전,부사동,06.05(금),18,76,78,76
4,대전,부사동,06.06(토),14,77,79,75
5,대전,부사동,06.07(일),17,76,79,77
6,사직,사직제2동,06.09(화),18,78,78,75
7,사직,사직제2동,06.10(수),18,77,77,74
8,사직,사직제2동,06.11(목),18,76,76,76
9,대전,부사동,06.12(금),18,78,79,77
10,대전,부사동,06.13(토),17,77,78,76
11,대전,부사동,06.14(일),17,74,76,74
12,대전,부사동,06.16(화),18,74,76,77
13,대전,부사동,06.17(수),18,76,75,73
14,대전,부사동,06.18(목),18,72,71,71
15,창원,양덕2동,06.19(금),18,71,74,71
16,창원,양덕2동,06.20(토),17,70,73,71
17,창원,양덕2동,06.21(일),17,73,74,73
18,대구,고산2동,06.23(화),18,78,78,78
19,대구,고산2동,06.24(수),18,75,74,72
20,대구,고산2동,06.25(목),18,78,79,76
21,대전,부사동,06.26(금),18,77,77,76
22,대전,부사동,06.27(토),17,76,78,78
23,대전,부사동,06.28(일),17,77,79,78
24,광주,임동,07.01(수),18,73,74,73
25,광주,임동,07.02(목),18,77,78,74
26,잠실,잠실2동,07.03(금),18,75,76,75
27,잠실,잠실2동,07.04(토),18,74,76,75
28,잠실,잠실2동,07.05(일),17,74,74,74
29,대전,부사동,07.07(화),18,77,79,77
30,대전,부사동,07.08(수),18,77,79,79
31,대전,부사동,07.09(목),18,79,81,80
32,대전,부사동,07.10(금),18,76,78,76
33,대전,부사동,07.11(토),18,79,79,78
34,대전,부사동,07.13(월),18,67,69,69
35,수원,조원1동,07.14(화),18,67,68,68
36,수원,조원1동,07.15(수),18,71,73,73
37,수원,조원1동,07.16(목),18,75,77,75
38,잠실,잠실2동,07.17(금),18,77,80,78
39,잠실,잠실2동,07.18(토),18,77,78,78
40,잠실,잠실2동,07.19(일),17,74,75,77
41,대전,부사동,07.21(화),18,78,80,79
42,대전,부사동,07.22(수),18,76,76,76
43,대전,부사동,07.24(금),18,73,74,73
44,대전,부사동,07.26(일),17,77,79,78
45,대전,부사동,07.27(월),18,77,77,76
46,대구,고산2동,07.29(수),18,78,80,78
47,대구,고산2동,07.30(목),18,77,77,79
48,잠실,잠실2동,07.31(금),18,77,80,80
49,잠실,잠실2동,08.01(토),18,77,77,78
50,대전,부사동,08.05(수),18,83,84,81
51,대전,부사동,08.06(목),18,78,80,78
52,대전,부사동,08.09(일),17,79,81,79
53,고척,고척제1동,08.11(화),18,78,80,79
54,고척,고척제1동,08.12(수),18,80,81,80
55,고척,고척제1동,08.13(목),18,80,82,80
56,대전,부사동,08.14(금),18,84,89,82
57,대전,부사동,08.15(토),17,82,86,84
58,대전,부사동,08.16(일),17,84,84,83
59,문학,0,08.18(화),18,81,81,77
60,문학,0,08.19(수),18,81,81,77
61,대전,부사동,08.20(목),18,83,85,84
62,대전,부사동,08.21(금),18,82,84,83
63,잠실,잠실2동,08.23(일),17,78,80,78
64,잠실,잠실2동,08.24(월),18,80,80,81
65,창원,양덕2동,08.25(화),18,84,83,81
66,창원,양덕2동,08.26(수),18,81,80,79
67,대전,부사동,08.27(목),18,84,85,82
68,사직,사직제2동,08.29(토),18,82,84,81
69,사직,사직제2동,08.30(일),17,84,84,81
70,잠실,잠실2동,09.01(화),18,78,80,80
71,대전,부사동,09.03(목),18,75,77,74
72,대전,부사동,09.04(금),18,76,76,75
73,대전,부사동,09.05(토),17,76,76,74
74,대전,부사동,09.06(일),14,71,73,70
75,대구,고산2동,09.08(화),18,76,78,76
76,대구,고산2동,09.09(수),15,76,78,75
77,대구,고산2동,09.09(수),18,76,78,75
78,대전,부사동,09.10(목),18,74,76,74
79,대전,부사동,09.11(금),18,75,74,72
80,수원,조원1동,09.12(토),17,68,69,68
81,수원,조원1동,09.13(일),14,70,71,69
82,대전,부사동,09.15(화),18,75,77,74
83,대전,부사동,09.16(수),18,74,77,74
84,고척,고척제1동,09.17(목),18,70,71,70
85,고척,고척제1동,09.18(금),18,71,71,70
86,광주,임동,09.19(토),17,72,72,69
87,광주,임동,09.20(일),14,71,72,69
88,대전,부사동,09.22(화),18,69,71,69
89,대전,부사동,09.23(수),18,69,70,68
90,대전,부사동,09.24(목),18,69,71,69
91,대전,부사동,09.25(금),18,72,74,71
92,대전,부사동,09.26(토),17,70,72,69
93,대전,부사동,09.27(일),14,70,71,69
94,대전,부사동,09.29(화),18,70,70,68
95,대전,부사동,09.30(수),14,70,71,70
