날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2020-06-02,2,0,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.217,0.25,0.5,0.75,12,0.27,-0.23,-0.002
2020-06-03,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.208,0.255,0.479,0.734,8,0.49,-0.1,-0.003
2020-06-04,3,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.216,0.259,0.471,0.73,10,1.08,0.53,-0.04
2020-06-05,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.204,0.259,0.444,0.703,23,0.58,0.13,0.065
2020-06-06,3,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.207,0.258,0.431,0.689,15,0.55,-0.56,-0.022
2020-06-07,3,0,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.23,0.277,0.459,0.736,10,0.15,0.4,0.001
2020-06-09,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.215,0.261,0.431,0.692,21,0.73,-1.72,-0.101
2020-06-10,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.203,0.247,0.406,0.652,16,0.38,-0.95,-0.038
2020-06-11,3,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.205,0.247,0.397,0.644,9,1.0,-0.65,-0.057
2020-06-12,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.197,0.247,0.382,0.628,21,0.85,-0.55,-0.048
2020-06-13,3,1,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.2,0.247,0.413,0.66,20,1.31,0.24,-0.009
2020-06-14,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.193,0.239,0.398,0.636,12,0.63,-0.56,-0.048
2020-06-16,3,0,3,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.198,0.25,0.395,0.645,14,0.21,0.02,0.009
2020-06-17,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.189,0.24,0.378,0.617,19,1.28,-1.72,-0.137
2020-06-18,2,0,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.194,0.242,0.376,0.619,8,0.69,-0.23,-0.017
2020-06-19,2,0,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.198,0.245,0.385,0.631,12,0.75,-0.23,-0.029
2020-06-20,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.192,0.238,0.374,0.612,9,0.71,-1.02,-0.058
2020-06-21,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.231,0.363,0.594,11,1.11,-0.76,-0.091
2020-07-27,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.183,0.227,0.356,0.583,12,0.62,-0.46,-0.034
2020-07-30,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.179,0.223,0.349,0.572,10,1.05,-0.5,-0.051
2020-07-31,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.174,0.217,0.339,0.557,13,0.81,-0.69,-0.063
2020-08-01,3,0,3,1,1,0,0,1,4,3,0,0,0,0,0,2,0,0,0,0.179,0.22,0.366,0.586,10,0.74,1.14,0.007
2020-08-05,4,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0.183,0.221,0.365,0.587,11,1.32,-1.27,-0.117
2020-08-06,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.179,0.218,0.359,0.577,10,1.13,-1.36,-0.124
2020-08-09,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.175,0.213,0.35,0.563,13,1.1,-0.9,-0.079
2020-08-11,3,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.179,0.215,0.35,0.565,11,3.54,-0.38,-0.073
2020-08-13,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.177,0.22,0.347,0.566,7,0.96,-0.04,-0.007
2020-08-14,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.176,0.224,0.344,0.568,13,0.01,0.1,0.001
2020-08-15,4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.181,0.228,0.346,0.574,3,1.2,0.14,0.007
2020-08-16,4,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.178,0.23,0.341,0.571,8,0.69,-0.18,-0.012
2020-08-18,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.177,0.234,0.338,0.573,9,0.14,0.14,0.008
2020-08-19,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.174,0.231,0.333,0.564,9,0.58,-0.37,-0.032
2020-08-20,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.173,0.229,0.331,0.56,5,0.5,-0.25,-0.015
2020-08-21,4,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.176,0.236,0.331,0.567,15,0.56,-0.33,-0.041
2020-08-24,4,1,5,2,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0.191,0.248,0.355,0.603,13,0.64,0.81,0.046
2020-08-25,4,0,5,1,3,1,1,0,6,2,0,0,0,0,0,1,0,0,0,0.205,0.259,0.384,0.643,14,0.53,2.1,0.073
2020-08-26,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.253,0.373,0.626,9,1.09,-1.57,-0.109
2020-08-27,4,1,4,1,3,1,0,0,4,4,0,0,0,0,0,1,0,0,0,0.214,0.265,0.39,0.655,17,0.94,3.13,0.132
2020-08-29,4,0,3,1,1,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0.217,0.271,0.408,0.678,19,1.24,0.59,0.023
2020-08-30,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.211,0.264,0.398,0.662,16,0.86,-1.23,-0.086
2020-09-01,4,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.213,0.266,0.396,0.662,14,0.5,-0.1,0.006
2020-09-03,2,0,5,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.219,0.269,0.396,0.666,13,1.26,-0.58,-0.044
2020-09-04,3,1,3,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0.215,0.273,0.39,0.662,23,0.69,0.25,-0.093
2020-09-05,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.21,0.267,0.381,0.648,17,1.43,-1.19,-0.153
2020-09-06,2,0,4,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.211,0.267,0.383,0.65,20,0.54,1.46,-0.03
2020-09-08,3,1,4,0,2,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0.217,0.275,0.386,0.661,29,1.74,1.05,0.178
2020-09-09,3,0,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.218,0.278,0.383,0.661,21,1.45,-0.04,0.023
2020-09-09,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0.218,0.276,0.378,0.654,16,0.6,-2.36,-0.094
2020-09-09,3,1,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.218,0.278,0.383,0.661,21,1.45,-0.04,0.023
2020-09-09,3,1,5,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0.218,0.276,0.378,0.654,16,0.6,-2.36,-0.094
2020-09-09,2,0,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.218,0.278,0.383,0.661,21,1.45,-0.04,0.023
2020-09-09,2,0,5,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0.218,0.276,0.378,0.654,16,0.6,-2.36,-0.094
2020-09-09,2,1,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.218,0.278,0.383,0.661,21,1.45,-0.04,0.023
