날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2020-06-02,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.287,0.33,0.299,0.629,8,0.68,-0.03,0.004
2020-06-03,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.286,0.327,0.297,0.623,16,0.86,-0.76,-0.051
2020-06-04,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.29,0.33,0.301,0.631,4,0.34,0.14,0.0
2020-06-05,3,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.292,0.337,0.302,0.639,18,0.24,0.38,0.021
2020-06-06,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.29,0.333,0.3,0.633,11,0.25,-0.34,0.025
2020-06-07,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.282,0.324,0.291,0.616,12,0.3,-0.49,-0.023
2020-06-09,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.279,0.327,0.288,0.616,6,0.24,-0.07,0.004
2020-06-10,2,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0.283,0.328,0.302,0.629,8,0.92,0.25,0.014
2020-06-11,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.275,0.325,0.294,0.619,13,2.01,-2.05,-0.213
2020-06-12,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.275,0.331,0.294,0.624,5,0.6,0.4,0.028
2020-06-13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.328,0.291,0.619,4,2.3,-0.82,-0.058
2020-06-14,3,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.272,0.325,0.298,0.624,11,0.77,-1.03,-0.082
2020-06-16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.323,0.296,0.618,3,1.24,-0.34,-0.022
2020-06-17,2,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.275,0.326,0.3,0.626,15,0.56,-0.17,0.046
2020-06-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.323,0.298,0.621,4,0.2,-0.26,-0.005
2020-06-21,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.279,0.328,0.303,0.632,2,0.21,0.28,0.01
2020-06-23,3,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.29,0.338,0.315,0.653,3,0.07,0.8,0.007
2020-06-24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.336,0.312,0.648,2,0.72,0.28,0.026
2020-06-25,3,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.285,0.331,0.308,0.639,21,0.26,0.53,-0.024
2020-06-26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.276,0.322,0.299,0.62,15,0.79,-1.6,-0.076
2020-06-27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0.318,0.294,0.612,5,1.66,-1.06,-0.082
2020-06-28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.27,0.315,0.292,0.607,3,1.8,-0.45,-0.045
