날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2020-06-03,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.121,0.237,0.152,0.388,15,0.64,-0.22,-0.031
2020-06-04,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.108,0.214,0.135,0.349,19,0.84,-0.95,-0.090
2020-06-05,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.103,0.205,0.128,0.333,12,0.74,-0.44,-0.037
2020-06-06,4,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.163,0.250,0.186,0.436,9,0.51,1.38,0.082
2020-06-07,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.156,0.255,0.178,0.433,19,0.31,0.16,-0.007
2020-06-09,2,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0.191,0.309,0.213,0.522,14,0.27,1.01,0.040
2020-06-10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180,0.293,0.200,0.493,7,0.90,0.25,0.046
2020-06-12,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.204,0.306,0.241,0.547,16,0.69,0.37,0.011
2020-06-13,4,1,3,0,0,1,6,2,0,0,1,0,1,1,0,0,0,0.241,0.343,0.328,0.671,18,1.37,2.44,0.225
2020-06-14,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.242,0.338,0.339,0.677,19,0.86,-1.17,-0.063
2020-06-16,5,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.239,0.329,0.328,0.657,23,0.56,-0.23,-0.035
2020-06-17,3,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0.243,0.338,0.343,0.680,13,0.98,1.29,0.140
2020-06-18,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.227,0.318,0.320,0.638,21,1.38,-1.48,-0.175
2020-06-19,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.218,0.315,0.308,0.622,17,1.02,-0.48,-0.028
2020-06-20,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.232,0.323,0.329,0.652,12,0.55,0.90,0.117
2020-06-21,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.221,0.316,0.314,0.630,19,1.74,-0.04,-0.046
2020-06-23,3,1,2,1,0,1,6,1,0,0,1,0,0,0,0,0,0,0.236,0.333,0.371,0.704,16,0.88,1.92,0.246
2020-06-24,2,0,1,1,0,0,2,1,0,0,2,0,0,0,1,0,0,0.242,0.349,0.385,0.734,17,0.97,1.24,0.095
2020-06-25,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.242,0.351,0.379,0.730,19,0.18,-0.54,-0.006
2020-06-26,4,1,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0.253,0.357,0.384,0.740,16,0.84,1.00,0.086
2020-06-27,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.245,0.353,0.373,0.725,22,1.65,-1.45,-0.161
2020-06-28,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.245,0.350,0.377,0.727,17,1.16,-0.34,-0.071
2020-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.236,0.339,0.364,0.702,22,1.54,-2.07,-0.135
2020-07-02,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.230,0.331,0.354,0.685,12,0.93,-0.77,-0.073
2020-07-03,3,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0.233,0.336,0.353,0.689,16,1.41,0.67,0.123
2020-07-04,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.227,0.328,0.345,0.673,5,1.01,-1.00,-0.044
2020-07-05,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.230,0.329,0.344,0.673,8,1.07,0.16,0.032
2020-07-07,4,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0.238,0.331,0.357,0.688,24,1.04,0.78,0.145
2020-07-08,4,0,2,1,0,0,3,2,0,0,0,0,0,2,0,0,0,0.246,0.336,0.369,0.705,14,0.61,1.32,-0.008
2020-07-09,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.248,0.340,0.368,0.708,22,1.36,0.24,0.009
2020-07-10,2,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.252,0.350,0.370,0.721,20,1.42,1.26,0.076
2020-07-11,2,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.255,0.360,0.372,0.733,16,1.15,0.63,0.061
2020-07-13,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.250,0.358,0.364,0.722,12,0.95,-0.15,-0.010
