Unnamed: 0.1,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.39,0.5,0.89,26,0.54,-1.6,-0.065
1,2020-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0.383,0.491,0.874,6,0.44,-0.12,-0.012
2,2020-06-04,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.322,0.375,0.475,0.85,21,0.71,-0.44,-0.019
3,2020-06-05,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0.328,0.397,0.475,0.872,17,0.75,-0.03,-0.007
4,2020-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,0.391,0.468,0.859,4,0.08,-0.18,-0.002
5,2020-06-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.303,0.37,0.439,0.809,15,1.15,-1.1,-0.117
6,2020-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.355,0.42,0.776,10,0.79,-0.69,-0.063
7,2020-06-11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.274,0.338,0.397,0.735,18,0.95,-0.88,-0.1
8,2020-06-13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.267,0.329,0.387,0.716,12,1.17,-0.44,-0.059
9,2020-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.329,0.387,0.716,0,0.0,0.0,0.0
10,2020-06-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.329,0.387,0.716,0,0.0,0.0,0.0
11,2020-06-18,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.288,0.345,0.4,0.745,19,1.28,0.69,0.012
12,2020-06-19,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.286,0.341,0.405,0.745,19,1.19,-0.23,0.001
13,2020-06-20,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.295,0.347,0.409,0.756,19,0.5,0.23,0.01
14,2020-06-21,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.293,0.35,0.402,0.752,20,1.03,0.76,0.05
15,2020-06-23,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.284,0.346,0.389,0.736,22,0.95,0.03,-0.07
16,2020-07-31,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.28,0.339,0.38,0.719,20,0.74,-1.28,-0.088
17,2020-08-01,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0.294,0.351,0.402,0.753,10,0.37,0.96,0.072
