,연도,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도류,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2020,06-02,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.217,0.250,0.500,0.750,12,0.27,-0.23,-0.002
1,2020,06-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.208,0.255,0.479,0.734,8,0.49,-0.10,-0.003
2,2020,06-04,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.216,0.259,0.471,0.730,10,1.08,0.53,-0.040
3,2020,06-05,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.204,0.259,0.444,0.703,23,0.58,0.13,0.065
4,2020,06-06,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.207,0.258,0.431,0.689,15,0.55,-0.56,-0.022
5,2020,06-07,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.230,0.277,0.459,0.736,10,0.15,0.40,0.001
6,2020,06-09,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.215,0.261,0.431,0.692,21,0.73,-1.72,-0.101
7,2020,06-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.203,0.247,0.406,0.652,16,0.38,-0.95,-0.038
8,2020,06-11,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.205,0.247,0.397,0.644,9,1.00,-0.65,-0.057
9,2020,06-12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.197,0.247,0.382,0.628,21,0.85,-0.55,-0.048
10,2020,06-13,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.200,0.247,0.413,0.660,20,1.31,0.24,-0.009
11,2020,06-14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.193,0.239,0.398,0.636,12,0.63,-0.56,-0.048
12,2020,06-16,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.198,0.250,0.395,0.645,14,0.21,0.02,0.009
13,2020,06-17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.189,0.240,0.378,0.617,19,1.28,-1.72,-0.137
