,연도,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도류,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2020,06-02,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.213,0.238,0.350,0.588,5,0.96,-0.07,-0.012
1,2020,06-03,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.220,0.244,0.354,0.598,10,1.02,-0.60,-0.054
2,2020,06-05,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.224,0.256,0.353,0.608,14,0.39,-0.56,0.035
3,2020,06-06,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.225,0.255,0.360,0.615,13,0.68,-0.49,-0.061
4,2020,06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.247,0.348,0.595,6,0.38,-0.70,-0.029
5,2020,06-23,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.216,0.245,0.340,0.585,13,1.16,-1.28,-0.143
6,2020,06-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.210,0.238,0.330,0.568,8,1.02,-1.01,-0.075
7,2020,06-25,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.219,0.245,0.333,0.579,12,0.25,-0.24,0.013
8,2020,06-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.217,0.243,0.330,0.573,5,2.21,-0.38,-0.051
9,2020,06-28,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.220,0.246,0.358,0.603,10,1.24,1.08,0.026
10,2020,07-01,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.221,0.246,0.354,0.600,11,1.23,-0.41,-0.001
11,2020,07-02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.217,0.242,0.348,0.589,9,2.12,-1.51,-0.151
12,2020,07-03,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.218,0.242,0.345,0.586,20,1.35,-0.22,-0.067
13,2020,07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0.234,0.333,0.568,10,0.71,-0.95,-0.017
14,2020,07-05,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.218,0.240,0.339,0.579,6,0.54,0.28,0.026
15,2020,07-07,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.222,0.244,0.349,0.593,7,4.02,1.05,0.429
16,2020,08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.219,0.241,0.344,0.584,6,2.43,-1.49,-0.251
17,2020,08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.235,0.336,0.571,11,0.91,-0.82,-0.067
18,2020,08-18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.212,0.239,0.333,0.572,5,0.22,0.44,0.017
19,2020,08-19,3,2,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0.219,0.245,0.365,0.610,19,0.28,0.40,0.124
20,2020,08-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.213,0.238,0.355,0.593,12,1.29,-0.93,-0.110
21,2020,08-21,1,2,0,0,1,5,3,0,0,0,0,0,0,1,0,0,0.221,0.245,0.379,0.624,9,0.73,0.94,0.059
22,2020,08-23,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.221,0.245,0.376,0.621,13,1.15,0.19,0.013
23,2020,08-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.221,0.244,0.376,0.619,4,1.77,-0.11,0.016
24,2020,08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.220,0.242,0.373,0.615,7,3.67,-1.65,-0.195
25,2020,08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.219,0.241,0.371,0.611,1,1.49,-0.97,-0.059
26,2020,08-27,1,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0.222,0.253,0.373,0.626,16,1.11,1.45,0.064
27,2020,08-29,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.223,0.253,0.369,0.622,22,0.73,-0.36,-0.067
