,연도,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도류,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2020,06-24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.310,0.355,0.483,0.838,13,0.92,-0.73,-0.061
1,2020,06-25,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.333,0.389,0.485,0.874,17,0.35,1.62,0.058
2,2020,06-26,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.324,0.375,0.459,0.834,13,0.86,-0.67,0.026
3,2020,06-27,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.341,0.386,0.463,0.850,18,0.87,1.04,0.052
4,2020,06-28,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.318,0.375,0.432,0.807,11,0.93,-0.54,-0.007
5,2020,07-01,1,3,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0.354,0.404,0.458,0.862,15,1.11,1.42,0.162
6,2020,07-02,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.321,0.368,0.415,0.784,15,1.13,-2.71,-0.215
7,2020,07-03,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.316,0.361,0.404,0.764,20,1.03,-0.28,0.000
8,2020,07-04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.300,0.354,0.383,0.737,19,0.49,-0.38,0.001
9,2020,07-05,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.297,0.348,0.375,0.723,15,1.36,-0.29,0.003
10,2020,07-07,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.290,0.347,0.406,0.752,22,1.44,1.02,0.693
11,2020,07-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.282,0.338,0.394,0.732,10,1.48,-0.93,-0.076
12,2020,07-09,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.280,0.333,0.400,0.733,16,2.63,0.30,-0.038
13,2020,07-10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.266,0.326,0.380,0.705,18,0.66,-0.41,-0.041
14,2020,07-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263,0.322,0.375,0.697,5,1.83,-0.26,-0.047
15,2020,07-13,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.262,0.319,0.369,0.688,14,0.66,0.29,0.028
16,2020,07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0.312,0.360,0.672,9,1.11,-0.64,-0.052
17,2020,07-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.253,0.309,0.356,0.665,6,0.09,-0.34,-0.002
18,2020,07-16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.244,0.299,0.344,0.643,15,0.87,-0.68,-0.062
