Unnamed: 0.1,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도류,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2020-06-02,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.304,0.426,0.375,0.801,14,0.71,0.95,0.029
1,2020-06-03,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.3,0.417,0.367,0.783,20,0.77,-0.47,-0.046
2,2020-06-04,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.297,0.408,0.359,0.767,9,0.94,-0.43,-0.025
3,2020-06-05,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.284,0.392,0.343,0.736,8,0.95,-1.56,-0.111
4,2020-06-06,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.286,0.39,0.343,0.733,7,0.79,-0.04,0.02
5,2020-06-07,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.297,0.395,0.351,0.747,16,0.54,1.32,-0.016
6,2020-06-09,0,2,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0.308,0.407,0.372,0.778,18,0.49,0.15,-0.069
7,2020-06-10,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.309,0.404,0.37,0.775,16,0.68,0.29,-0.007
8,2020-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.298,0.392,0.357,0.749,17,1.5,-1.3,-0.109
9,2020-06-12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.287,0.386,0.345,0.731,20,0.69,-0.62,-0.045
10,2020-06-13,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.278,0.387,0.333,0.72,18,2.06,0.1,0.091
11,2020-06-14,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.277,0.382,0.33,0.712,14,0.98,-0.1,0.015
12,2020-06-16,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.289,0.395,0.34,0.735,19,0.34,0.55,0.013
13,2020-06-17,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.287,0.39,0.337,0.726,14,0.86,-0.14,0.019
14,2020-06-18,2,0,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0.279,0.39,0.327,0.717,22,1.48,0.8,0.02
15,2020-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.381,0.318,0.699,10,0.54,-0.41,-0.041
16,2020-06-21,1,1,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0.275,0.397,0.321,0.718,29,1.3,1.4,0.089
17,2020-06-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.265,0.385,0.31,0.695,22,0.88,-0.82,-0.088
18,2020-06-24,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.259,0.381,0.302,0.683,17,1.1,-0.79,-0.053
19,2020-06-25,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.258,0.382,0.3,0.682,18,0.62,-0.37,0.034
