Unnamed: 0.1,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.265,0.286,0.55,6,0.04,-0.32,-0.001
1,2020-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0.254,0.273,0.526,9,0.53,-0.56,-0.04
2,2020-06-04,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.253,0.271,0.525,9,0.57,0.19,0.037
3,2020-06-05,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.197,0.26,0.268,0.527,8,1.54,-1.52,-0.162
4,2020-06-07,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.203,0.263,0.27,0.533,10,0.24,-0.23,-0.016
5,2020-06-10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.208,0.265,0.273,0.538,15,0.57,0.19,-0.004
6,2020-06-11,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0.215,0.287,0.278,0.566,11,1.06,1.19,0.115
7,2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.278,0.268,0.546,12,0.76,-0.86,-0.06
8,2020-06-13,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.221,0.287,0.279,0.566,11,1.39,0.75,0.105
9,2020-06-14,2,2,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0.239,0.309,0.33,0.639,12,0.86,1.8,0.181
10,2020-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.3,0.319,0.619,11,0.33,-0.78,-0.028
11,2020-06-17,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.228,0.304,0.315,0.619,11,0.2,0.14,-0.004
12,2020-06-18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.223,0.305,0.309,0.613,9,0.7,-0.23,-0.029
13,2020-06-19,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.227,0.306,0.32,0.625,11,0.7,-0.13,-0.015
14,2020-06-20,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.23,0.313,0.32,0.633,25,0.45,0.43,0.029
15,2020-06-21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.225,0.313,0.314,0.627,10,1.26,-0.37,-0.025
16,2020-06-23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.231,0.316,0.317,0.634,6,1.57,-0.14,0.001
17,2020-06-24,1,4,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0.259,0.339,0.37,0.709,13,0.56,1.7,0.151
18,2020-06-25,2,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0.261,0.344,0.369,0.713,11,0.54,0.79,-0.004
19,2020-06-26,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.261,0.341,0.365,0.706,7,0.6,-1.33,-0.102
20,2020-06-27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.263,0.341,0.364,0.705,14,1.17,-0.12,-0.038
21,2020-07-01,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.27,0.346,0.377,0.723,16,1.42,0.46,0.008
22,2020-07-02,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.274,0.353,0.379,0.732,12,0.77,0.49,0.052
23,2020-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0.343,0.367,0.71,19,1.12,-0.81,-0.113
24,2020-07-04,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.258,0.333,0.356,0.689,17,0.53,-1.33,-0.072
25,2020-07-05,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.259,0.333,0.356,0.689,12,1.14,-0.2,0.025
26,2020-07-07,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.257,0.329,0.357,0.686,18,1.5,-0.99,-0.155
27,2020-07-09,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.259,0.329,0.357,0.686,6,2.02,-1.86,-0.24
28,2020-07-10,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.26,0.333,0.356,0.689,16,1.05,1.35,0.031
29,2020-07-11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.257,0.333,0.351,0.685,11,1.77,-0.25,-0.039
30,2020-07-13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.25,0.325,0.342,0.668,17,0.49,-1.1,-0.05
31,2020-07-14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.253,0.327,0.344,0.672,6,0.54,0.28,0.03
32,2020-07-17,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.256,0.333,0.353,0.686,19,0.44,0.65,0.03
33,2020-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,0.331,0.35,0.682,3,0.34,-0.26,-0.009
34,2020-07-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.252,0.328,0.346,0.674,12,0.35,-0.36,-0.017
35,2020-07-24,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.248,0.331,0.342,0.673,19,1.13,0.37,0.018
36,2020-07-26,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.255,0.335,0.352,0.687,20,0.79,0.9,0.098
37,2020-07-27,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0.257,0.34,0.359,0.7,12,0.99,1.23,0.163
38,2020-07-29,2,3,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0.267,0.347,0.372,0.719,16,1.0,2.55,0.366
39,2020-07-30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.261,0.343,0.364,0.707,20,1.85,-1.11,-0.216
40,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0.343,0.364,0.707,0,0.0,0.0,0.0
41,2020-08-01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.258,0.343,0.36,0.703,16,1.37,-0.62,-0.096
42,2020-08-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.254,0.338,0.354,0.692,8,1.44,1.76,0.29
43,2020-08-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.253,0.337,0.352,0.688,8,2.07,-0.32,-0.05
44,2020-08-09,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.253,0.335,0.349,0.684,20,0.89,-0.34,-0.018
45,2020-08-11,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.262,0.341,0.356,0.697,11,1.83,0.78,-0.016
46,2020-08-12,1,1,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0.263,0.344,0.361,0.705,16,1.28,0.39,-0.004
47,2020-08-13,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.264,0.347,0.36,0.707,21,1.6,-0.02,-0.04
48,2020-08-14,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.266,0.348,0.362,0.71,13,0.1,0.16,-0.005
49,2020-08-15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.267,0.348,0.361,0.709,10,1.27,-0.36,-0.023
50,2020-08-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.265,0.348,0.358,0.706,13,0.7,-0.16,-0.006
51,2020-08-18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.263,0.352,0.356,0.708,7,1.05,0.76,0.097
52,2020-08-19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.266,0.353,0.357,0.711,13,0.95,0.59,0.03
53,2020-08-20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.269,0.356,0.361,0.717,6,0.94,0.13,0.028
54,2020-08-21,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.269,0.354,0.358,0.713,14,0.29,-0.41,0.014
55,2020-08-23,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.269,0.352,0.361,0.714,17,0.68,0.74,0.139
