,연도,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도류,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2020,06-02,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.167,0.375,0.167,0.542,14,0.59,1.08,0.031
1,2020,06-04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.300,0.125,0.425,6,0.89,-0.38,-0.045
2,2020,06-05,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.222,0.364,0.556,0.919,1,0.00,1.60,0.000
3,2020,06-06,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.308,0.400,0.769,1.169,12,0.49,0.93,0.019
4,2020,06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.250,0.333,0.625,0.958,14,0.74,-1.35,-0.065
5,2020,06-18,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.300,0.364,0.600,0.964,14,1.22,0.74,0.077
6,2020,06-19,1,1,0,0,1,4,1,0,0,0,0,0,3,0,0,0,0.292,0.346,0.667,1.013,14,1.32,0.10,-0.031
7,2020,06-20,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.259,0.333,0.593,0.926,20,0.67,-1.08,-0.079
8,2020,06-21,2,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0.281,0.343,0.563,0.905,20,1.79,1.27,0.106
9,2020,06-23,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0.294,0.359,0.559,0.918,15,1.22,0.22,0.019
10,2020,06-24,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.270,0.349,0.514,0.862,17,1.07,-1.91,-0.135
11,2020,07-03,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.244,0.319,0.463,0.783,13,1.35,-1.50,-0.139
12,2020,07-04,0,3,2,0,0,5,2,0,0,0,0,0,1,0,0,0,0.283,0.346,0.522,0.868,22,0.69,2.82,0.231
13,2020,07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260,0.321,0.480,0.801,19,1.14,-1.30,-0.118
14,2020,07-07,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.278,0.333,0.537,0.870,16,1.14,1.10,0.117
15,2020,07-08,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.276,0.328,0.517,0.845,16,0.88,-1.00,-0.112
16,2020,07-09,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.290,0.338,0.532,0.870,19,1.47,1.48,0.213
17,2020,07-10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.277,0.333,0.508,0.841,18,1.38,-0.93,-0.032
