Unnamed: 0.1,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2020-07-08,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.326,0.34,0.413,0.753,10,0.53,-0.55,-0.029
1,2020-07-09,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.32,0.333,0.4,0.733,9,1.29,0.22,-0.029
2,2020-07-10,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.321,0.345,0.396,0.742,10,1.17,0.73,0.08
3,2020-07-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.293,0.317,0.362,0.679,16,1.57,-1.7,-0.233
4,2020-07-13,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.306,0.328,0.387,0.715,15,0.45,0.08,0.009
5,2020-07-14,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.308,0.328,0.385,0.713,10,0.46,0.08,0.027
6,2020-07-15,2,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.304,0.333,0.377,0.71,20,0.56,0.56,0.09
7,2020-07-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3,0.329,0.371,0.7,5,0.14,-0.12,-0.004
8,2020-07-17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.288,0.316,0.356,0.672,15,0.92,-0.94,-0.064
9,2020-07-18,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.299,0.325,0.364,0.689,8,1.14,0.48,0.06
10,2020-07-19,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.309,0.333,0.37,0.704,15,2.08,-0.08,0.052
11,2020-07-21,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.31,0.341,0.369,0.71,16,0.26,-0.15,0.023
12,2020-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0.326,0.352,0.678,13,1.59,-0.86,-0.165
13,2020-07-24,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0.293,0.323,0.348,0.671,13,1.29,0.05,0.0
14,2020-07-26,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.302,0.33,0.354,0.684,16,0.59,0.3,0.044
15,2020-07-27,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,0.303,0.33,0.364,0.694,17,1.97,1.94,0.199
